N_06-27-2018,Time,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,15:26:50.868,977,981,959,1029,986,1587,1509,1665,1618,1455,1593,0,350,425,359,266,481,434,398,35.0
42,15:30:33.304,37153,37577,36106,35879,36095,977,981,961,1027,985,1588,1509,1668,1617,1418,1592,1,358,444,138,274,481,438,403,36.0
43,15:30:38.324,37149,37612,35991,35801,36217,978,978,960,1029,984,1588,1510,1667,1619,1426,1590,1,354,443,335,274,479,434,401,36.0
44,15:30:43.240,37027,37689,36108,35904,36209,976,979,962,1029,984,1589,1509,1666,1617,1441,1590,1,354,445,130,272,480,437,401,36.0
45,15:30:48.098,37228,37732,36095,35762,36097,980,981,961,1030,984,1585,1510,1666,1619,960,1594,0,358,444,327,271,481,437,400,36.0
46,15:30:52.942,37169,37698,36200,35792,36036,977,979,963,1028,984,1589,1509,1666,1615,1422,1593,1,359,443,335,270,482,435,401,36.0
47,15:30:58.040,37174,37730,36354,35848,36092,979,980,962,1028,984,1589,1510,1663,1618,1421,1593,0,355,441,212,271,483,435,403,36.0
48,15:31:03.159,37102,37682,36090,35660,36015,978,982,961,1029,984,1586,1512,1665,1616,1418,1594,1,341,442,339,273,481,437,403,36.0
49,15:31:08.179,37205,37661,36110,35852,36165,980,979,963,1027,983,1586,1509,1666,1617,1425,1594,0,350,443,139,259,480,438,403,36.0
50,15:31:13.019,37231,37641,36052,35794,36172,978,981,962,1028,986,1589,1512,1665,1618,1432,1590,1,66,444,335,271,479,433,403,36.0
51,15:31:20.402,37254,37533,36195,35851,35973,978,980,958,1029,987,1587,1510,1665,1616,988,1592,0,344,445,320,270,481,433,397,36.0
52,15:31:25.345,37047,37603,36078,35885,36078,978,983,964,1029,983,1589,1510,1667,1617,1423,1592,-1,351,444,336,268,481,435,401,36.0
53,15:31:30.299,37152,37655,36202,35822,36079,980,979,958,1028,985,1589,1511,1665,1616,1426,1591,1,349,445,214,269,484,436,400,36.0
54,15:31:35.299,37226,37594,36064,35800,36144,978,979,962,1028,985,1588,1510,1665,1618,1445,1590,0,346,445,132,274,483,437,401,37.0
55,15:31:40.165,37153,37714,36180,35893,36140,978,981,961,1029,984,1588,1510,1668,1617,1440,1591,0,352,443,312,273,481,436,402,37.0
56,15:31:45.037,37032,37606,36153,35837,36331,978,980,961,1028,985,1590,1509,1666,1618,1440,1591,1,348,444,231,272,480,436,401,37.0
57,15:31:49.898,36980,37738,36069,35784,36137,978,979,960,1027,984,1588,1510,1665,1617,1447,1590,1,351,445,129,271,482,435,402,37.0
58,15:31:54.841,37089,37699,36169,35871,36101,982,982,959,1030,984,1587,1511,1664,1618,1442,1591,1,356,442,231,271,477,437,403,37.0
59,15:32:00.058,37212,37812,35993,35794,36019,981,982,960,1028,984,1590,1511,1666,1617,1445,1592,0,326,443,326,273,483,438,403,37.0
60,15:32:05.120,37180,37559,36126,35849,36051,980,980,960,1030,984,1589,1511,1668,1619,1440,1591,-1,347,443,231,272,482,437,401,37.0
61,15:32:12.623,37121,37678,36090,35903,36061,980,980,963,1029,985,1588,1508,1667,1617,607,1593,1,355,440,325,274,480,438,397,37.0
62,15:32:17.731,37090,37665,36159,35901,36028,980,980,960,1029,985,1588,1511,1665,1618,1449,1589,0,328,444,338,270,479,436,401,37.0
63,15:32:22.821,37124,37700,36058,35814,36116,979,979,959,1027,985,1587,1512,1665,1618,990,1593,0,341,444,341,274,478,434,398,37.0
64,15:32:27.601,37166,37616,36127,35842,36119,978,982,959,1027,984,1585,1510,1668,1619,628,1592,-1,353,445,130,273,481,435,400,37.0
65,15:32:32.646,37143,37618,36213,35768,36160,979,980,960,1027,984,1588,1509,1666,1616,1430,1592,0,345,445,330,271,480,433,399,37.0
66,15:32:37.898,37135,37542,36083,35859,36055,979,981,961,1028,986,1588,1508,1665,1617,986,1592,1,345,445,136,275,483,436,401,37.0
67,15:32:42.804,37094,37612,36090,35871,36074,981,980,960,1028,986,1587,1510,1666,1617,1421,1594,0,345,446,323,271,481,435,403,37.0
68,15:32:47.758,37132,37720,36174,35844,36096,979,980,960,1029,985,1590,1509,1666,1615,944,1591,0,344,445,333,275,481,437,403,37.0
69,15:32:52.690,37124,37639,36128,35798,35935,977,981,960,1029,985,1587,1509,1665,1615,1440,1591,0,339,442,320,274,479,436,399,37.0
70,15:32:57.662,37082,37724,36089,35839,36258,980,981,962,1028,984,1588,1512,1665,1618,1431,1591,1,344,445,134,274,482,434,398,37.0
71,15:33:05.252,37071,37699,36107,35833,36023,980,980,963,1027,985,1586,1510,1664,1616,1400,1592,0,341,446,336,276,481,433,398,37.0
72,15:33:10.159,37167,37588,36212,35869,36003,979,981,962,1028,984,1586,1509,1665,1615,1442,1592,0,346,443,129,273,478,435,397,37.0
73,15:33:15.340,36982,37576,36104,35889,36104,978,980,964,1026,986,1590,1510,1668,1617,1442,1589,0,336,445,282,275,480,436,399,37.0
N_06-27-2018,Time,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,16:52:30.464,977,981,961,1031,984,1586,1507,1666,1614,1424,1593,1,356,446,361,271,479,439,401,39.0
