N_07-01-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,11:58:16.356,36212,37680,34793,35397,37020,996,997,1045,2156,999,1469,1548,2461,1478,2258,2547,442,425,430,522,393,456,471,369,30.0
2,11:58:21.921,36109,37667,34842,35281,37186,997,998,1044,2159,1000,1467,1550,2461,1478,2257,2547,444,426,430,519,394,456,471,368,31.0
3,11:58:27.606,36088,37670,34792,35439,37183,996,998,1046,2160,999,1467,1550,2461,1479,2259,2549,445,425,430,518,392,455,470,368,31.0
4,11:58:33.198,36076,37589,34798,35399,37029,996,998,1047,2156,1000,1468,1550,2460,1478,2260,2547,445,426,428,518,394,457,472,368,31.0
5,11:58:39.071,36155,37570,34851,35243,37108,995,997,1047,2158,1000,1467,1550,2461,1477,2259,2549,445,427,429,520,393,454,470,368,31.0
6,11:58:45.587,36185,37664,34894,35369,37039,998,999,1046,2157,999,1468,1551,2462,1478,2259,2549,444,425,429,522,394,456,471,367,31.0
7,11:58:51.382,36105,37759,34830,35288,37126,995,999,1047,2159,1000,1469,1549,2460,1478,2258,2546,445,425,428,520,392,454,469,367,31.0
8,11:58:57.293,36125,37542,34918,35293,36964,996,1000,1046,2158,999,1470,1548,2461,1475,2257,2546,444,425,427,522,394,458,471,368,31.0
9,11:59:03.778,36001,37775,34822,35332,37112,994,998,1047,2157,1000,1469,1550,2459,1478,2256,2550,445,426,428,519,397,458,471,368,31.0
10,11:59:10.091,36177,37653,34701,35293,37078,994,997,1048,2157,999,1468,1549,2460,1477,2258,2548,444,425,429,520,394,456,473,364,31.0
11,11:59:18.666,36137,37704,34921,35406,37166,996,999,1044,2157,1003,1467,1550,2460,1481,2258,2550,445,425,427,519,393,457,472,369,31.0
N_08-05-2018,Time,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,23:01:34.403,274,248,231,1026,216,1468,1550,2459,1479,2260,2550,283,91,21,342,296,341,355,276,31.0
N_08-05-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,23:01:58.438,-2917,49847,-13080,-763,-5621,542,555,524,1339,454,1468,1548,2463,1478,2261,2548,334,321,322,394,295,343,352,274,31.0
2,23:02:02.918,36175,37745,34897,35255,37037,996,999,1046,2156,1003,1468,1552,2460,1482,2260,2548,444,423,426,522,395,457,471,367,31.0
3,23:02:07.327,36184,37736,34790,35233,37106,998,1001,1047,2157,1005,1467,1549,2461,1482,2260,2548,444,426,430,519,397,457,472,368,31.0
4,23:02:11.738,36060,37816,34767,35315,37009,994,1001,1047,2156,1003,1467,1548,2460,1482,2260,2549,443,422,427,521,394,455,471,364,32.0
5,23:02:16.253,36112,37569,34880,35356,37024,997,998,1045,2157,1005,1467,1549,2464,1481,2259,2550,443,426,427,522,394,457,468,368,32.0
6,23:02:20.724,36071,37674,34848,35275,37151,997,999,1045,2156,1000,1468,1550,2462,1479,2262,2550,443,424,428,524,395,455,471,366,32.0
7,23:02:25.326,36027,37629,34833,35196,37069,995,998,1047,2156,1004,1467,1551,2462,1479,2258,2548,443,426,431,520,391,456,471,365,32.0
8,23:02:29.858,36100,37514,34824,35323,37152,997,998,1045,2158,1004,1468,1552,2460,1482,2259,2550,445,425,427,519,393,453,472,365,32.0
9,23:02:34.432,36087,37614,34797,35313,37092,995,1000,1048,2155,1005,1471,1545,2458,1481,2259,2549,443,426,426,518,393,458,470,367,32.0
10,23:02:38.910,36123,37662,34879,35320,37094,994,1000,1047,2155,1005,1467,1548,2459,1476,2260,2548,443,423,427,518,393,453,472,367,32.0
11,23:02:51.711,-8974,-4926,51353,-3575,57056,-14,29,-105,1121,12,1467,1550,2459,1481,2259,2548,443,423,427,518,393,453,472,367,32.0
12,23:02:56.356,36141,37559,34846,35272,37090,994,1000,1047,2155,1003,1465,1549,2460,1480,2260,2549,444,424,429,521,392,459,471,367,32.0
13,23:03:00.924,36091,37611,34840,35314,37011,995,1000,1046,2154,1003,1466,1548,2459,1480,2256,2548,443,426,429,521,396,456,473,365,32.0
14,23:03:05.566,36068,37634,34863,35216,37136,997,1000,1047,2158,1003,1468,1548,2459,1483,2259,2551,444,424,430,522,390,455,471,367,33.0
15,23:03:10.261,35963,37563,34752,35453,37157,996,1000,1045,2156,1002,1469,1550,2459,1481,2260,2551,443,426,428,519,395,453,470,366,33.0
16,23:03:14.688,36044,37646,34699,35191,37127,994,1000,1047,2155,1000,1467,1548,2458,1482,2259,2550,444,425,428,520,394,456,470,364,33.0
