N_06-27-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,14:56:27.796,37103,40985,43885,36747,38534,957,994,958,2179,986,1768,1459,1430,1495,1529,1434,517,494,479,438,459,463,428,442,40.0
N_06-27-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,B4 temp.
258,15:16:31.599,956,994,959,2179,986,13,1461,1434,1495,1527,1434,514,494,479,437,462,462,426,444,41.0
259,15:16:36.052,957,993,957,2178,987,1772,1462,1433,1494,1527,1436,513,496,480,439,461,462,427,447,41.0
260,15:16:40.418,955,993,957,2179,987,13,1462,1428,1491,1527,1436,517,494,480,440,462,465,425,444,41.0
261,15:16:47.361,956,992,957,2178,987,14,1464,1430,1492,1528,1433,515,494,476,439,461,464,427,447,41.0
262,15:16:51.800,956,992,959,2178,986,1770,1461,1433,1493,1530,1434,515,495,478,440,459,466,426,444,41.0
263,15:16:56.284,957,991,959,2179,985,13,1464,1430,1494,1532,1433,516,494,480,442,463,463,428,444,41.0
264,15:17:00.881,957,992,957,2178,986,1771,1461,1434,1495,1532,1436,518,493,477,439,464,462,425,449,41.0
265,15:17:05.324,957,993,958,2177,987,11,1462,1432,1494,1532,1435,518,494,477,441,462,468,426,447,41.0
266,15:17:09.805,955,993,957,2177,987,1771,1465,1431,1493,1533,1434,516,493,479,439,462,465,427,445,41.0
267,15:17:14.457,957,993,958,2179,984,13,1462,1431,1492,1532,1435,515,493,478,441,459,463,427,446,41.0
268,15:17:19.779,957,993,959,2179,988,1772,1462,1433,1493,1531,1436,514,493,478,437,460,464,429,447,41.0
269,15:17:24.684,958,992,958,2176,987,13,1462,1430,1494,1533,1435,518,496,478,439,462,464,428,442,41.0
270,15:17:29.184,958,994,957,2176,987,1770,1461,1431,1493,1531,1435,516,494,477,440,462,462,425,444,41.0
271,15:17:36.169,956,993,958,2177,988,15,1461,1433,1494,1532,1433,514,494,479,437,460,466,427,447,41.0
272,15:17:40.729,956,993,958,2177,987,1769,1462,1434,1494,1530,1431,517,496,477,440,457,465,426,447,41.0
273,15:17:45.160,956,993,958,2177,988,11,1462,1428,1495,1532,1434,517,492,477,439,462,466,425,446,41.0
274,15:17:49.598,956,991,960,2178,985,1768,1460,1431,1492,1532,1434,514,495,480,441,462,465,427,446,41.0
275,15:17:53.922,957,992,957,2178,986,14,1464,1430,1492,1530,1436,515,493,477,441,462,461,428,449,41.0
276,15:17:58.487,956,992,960,2176,986,22,1461,1428,1493,1531,1435,518,495,478,441,458,465,426,447,41.0
277,15:18:02.820,957,992,960,2176,987,1770,1461,1432,1495,1532,1435,517,495,479,438,461,466,425,449,41.0
278,15:18:07.262,955,994,958,2177,986,13,1463,1428,1491,1530,1435,517,494,478,441,460,463,427,442,41.0
279,15:18:11.641,955,994,960,2177,988,1768,1461,1430,1492,1529,1437,514,493,480,437,460,463,429,444,41.0
280,15:18:16.089,957,993,958,2177,985,12,1464,1431,1493,1529,1434,517,494,478,441,464,464,424,447,41.0
281,15:18:23.083,957,993,960,2178,984,1769,1457,1433,1496,1527,1436,515,496,480,438,460,467,428,446,41.0
282,15:18:27.521,956,993,960,2177,987,16,1461,1432,1496,1527,1434,515,492,480,438,460,461,428,443,41.0
283,15:18:32.003,957,993,959,2178,985,1770,1460,1433,1497,1529,1434,518,498,477,439,462,464,425,442,41.0
284,15:18:36.461,956,994,959,2178,985,13,1461,1434,1495,1528,1434,518,495,482,439,458,464,425,444,41.0
285,15:18:40.841,956,993,958,2178,986,1770,1459,1430,1493,1531,1434,517,494,477,439,459,463,423,446,41.0
286,15:18:45.285,957,994,960,2177,986,1768,1458,1433,1495,1527,1433,517,492,476,441,461,463,428,445,41.0
287,15:18:49.705,956,993,957,2177,986,12,1460,1431,1494,1532,1435,517,492,478,440,457,464,427,447,41.0
288,15:18:54.123,956,994,962,2178,987,1771,1461,1431,1493,1527,1433,516,492,478,439,458,463,424,442,41.0
289,15:18:58.425,956,994,959,2177,986,12,1465,1433,1493,1528,1434,518,494,478,442,461,465,426,446,41.0
290,15:19:02.801,955,994,959,2179,985,1771,1464,1431,1493,1528,1433,515,494,476,438,461,466,427,444,41.0
291,15:19:09.983,956,994,958,2176,985,17,1462,1434,1493,1530,1435,514,491,479,440,460,465,422,443,41.0
292,15:19:14.616,956,994,958,2176,986,1772,1462,1431,1492,1531,1433,514,492,479,441,462,463,429,444,41.0
293,15:19:19.768,956,992,958,2180,986,15,1460,1432,1495,1532,1435,516,493,476,439,458,465,424,446,41.0
294,15:19:24.262,957,996,958,2177,986,1771,1462,1427,1496,1532,1437,514,493,480,440,464,464,424,443,41.0
295,15:19:28.661,957,994,961,2178,984,13,1460,1432,1494,1531,1435,515,495,477,441,460,461,424,444,41.0
296,15:19:33.060,956,992,960,2178,985,1769,1462,1433,1494,1530,1434,516,492,480,445,462,465,429,446,41.0
297,15:19:37.682,956,994,958,2178,987,13,1464,1429,1498,1531,1435,515,494,481,439,459,461,428,444,41.0
298,15:19:42.306,954,994,958,2179,986,1768,1462,1428,1495,1531,1433,518,492,480,441,461,465,425,448,41.0
299,15:19:46.762,957,992,959,2177,988,12,1462,1430,1495,1532,1431,516,492,478,440,461,463,428,443,41.0
300,15:19:51.184,958,993,956,2179,986,1770,1462,1428,1494,1530,1436,516,492,482,440,458,463,424,448,41.0
301,15:19:58.323,959,991,958,2178,985,15,1459,1433,1493,1531,1434,514,494,480,442,460,465,430,445,41.0
302,15:20:02.741,957,994,957,2177,988,1777,1463,1431,1493,1528,1435,517,492,477,438,461,462,425,448,41.0
303,15:20:07.124,957,991,956,2177,985,13,1463,1433,1490,1528,1435,516,495,481,441,461,465,428,445,41.0
304,15:20:11.548,956,994,960,2177,986,1771,1462,1433,1495,1527,1436,515,495,478,440,461,464,425,443,41.0
305,15:20:15.941,956,994,959,2177,987,10,1462,1432,1492,1527,1434,515,494,479,439,460,465,427,445,41.0
306,15:20:20.387,956,993,959,2179,987,1770,1461,1433,1495,1530,1435,518,492,477,441,460,465,424,443,41.0
307,15:20:24.871,956,994,958,2178,983,12,1461,1432,1493,1528,1436,514,494,477,442,462,465,430,445,41.0
308,15:20:29.290,956,991,959,2177,986,1769,1460,1433,1495,1527,1435,513,495,477,440,460,464,427,443,41.0
309,15:20:33.724,956,994,959,2176,987,13,1461,1432,1494,1530,1432,514,494,478,439,463,465,429,449,41.0
310,15:20:38.162,957,994,958,2178,986,1769,1461,1429,1495,1527,1434,517,495,477,438,461,464,429,446,41.0
311,15:20:45.305,957,992,958,2179,986,17,1461,1430,1495,1529,1435,519,491,478,441,459,463,426,445,41.0
312,15:20:49.706,956,992,958,2177,986,1771,1459,1429,1492,1529,1434,514,494,478,441,460,463,427,445,41.0
313,15:20:54.144,955,993,960,2178,987,1771,1460,1434,1495,1529,1435,514,496,479,441,462,464,429,446,41.0
314,15:20:58.665,956,992,957,2177,986,1769,1461,1431,1494,1530,1434,517,495,477,441,459,465,426,444,41.0
315,15:21:03.128,957,992,959,2178,984,10,1464,1427,1494,1528,1436,514,493,477,438,459,461,427,446,41.0
316,15:21:07.583,958,994,960,2179,987,1767,1463,1434,1495,1527,1436,515,495,481,439,460,464,427,445,41.0
317,15:21:11.928,956,995,960,2177,988,10,1461,1431,1495,1529,1434,517,493,479,441,462,465,428,447,41.0
318,15:21:16.486,956,990,959,2177,986,1771,1460,1430,1493,1528,1432,515,495,481,440,462,464,426,446,41.0
319,15:21:20.965,956,994,958,2177,986,11,1462,1432,1496,1527,1433,514,493,476,438,464,465,424,444,41.0
320,15:21:25.363,958,991,958,2178,986,1771,1463,1432,1494,1530,1435,516,493,476,439,464,461,428,446,41.0
321,15:21:32.417,957,993,957,2178,986,12,1463,1429,1494,1529,1435,517,495,479,439,459,461,427,447,41.0
322,15:21:36.846,956,993,958,2177,989,1770,1461,1429,1497,1527,1434,513,493,478,441,460,462,429,444,41.0
323,15:21:41.429,956,991,959,2179,986,1769,1464,1432,1493,1530,1434,514,494,477,441,460,463,427,443,41.0
324,15:21:46.261,956,992,958,2178,988,15,1461,1431,1496,1529,1435,514,491,478,442,459,461,430,444,41.0
325,15:21:50.742,958,994,957,2179,987,1771,1462,1429,1493,1530,1434,517,495,481,438,463,464,430,448,41.0
326,15:21:55.182,956,994,960,2178,988,13,1461,1432,1492,1527,1434,518,495,481,437,458,466,427,445,41.0
327,15:21:59.646,956,994,960,2177,987,1771,1461,1430,1495,1528,1434,517,493,476,438,459,463,424,446,41.0
328,15:22:04.109,954,993,956,2179,985,12,1461,1432,1494,1528,1436,515,493,478,438,458,465,427,442,41.0
329,15:22:08.549,956,991,957,2178,988,1772,1462,1428,1496,1527,1432,514,493,479,442,461,461,427,444,41.0
330,15:22:13.041,957,992,960,2178,987,11,1458,1433,1491,1529,1432,519,495,480,439,458,464,425,449,41.0
331,15:22:20.143,956,993,957,2179,985,13,1461,1433,1493,1529,1435,516,496,478,439,460,466,430,447,41.0
332,15:22:24.618,956,992,959,2177,984,1771,1462,1431,1493,1528,1434,516,494,479,441,459,466,430,445,41.0
333,15:22:29.099,956,994,959,2177,988,14,1463,1432,1493,1530,1436,514,493,480,438,460,461,428,447,41.0
334,15:22:33.767,956,993,960,2180,986,1768,1462,1429,1493,1527,1435,514,493,481,442,463,464,424,445,41.0
335,15:22:38.241,955,993,959,2179,986,11,1461,1432,1492,1528,1434,515,493,483,441,462,467,426,445,41.0
336,15:22:42.643,956,992,957,2178,987,1771,1463,1433,1492,1527,1432,517,491,480,439,459,462,425,446,41.0
337,15:22:47.084,956,992,958,2176,986,32,1461,1434,1494,1530,1433,514,492,476,440,461,461,423,446,41.0
338,15:22:51.588,959,995,958,2177,985,1763,1460,1432,1493,1527,1434,518,492,479,440,462,462,424,446,41.0
339,15:22:56.024,957,994,958,2178,988,13,1461,1430,1496,1528,1433,515,494,478,439,458,462,425,445,41.0
340,15:23:00.504,956,992,959,2179,988,1770,1463,1431,1491,1529,1434,515,493,480,439,463,465,430,444,41.0
341,15:23:07.584,956,993,959,2179,986,1770,1464,1429,1495,1527,1435,518,496,480,437,462,465,426,446,41.0
342,15:23:12.054,957,995,959,2177,986,25,1463,1431,1491,1530,1434,517,494,477,441,460,462,426,446,41.0
343,15:23:16.484,956,992,959,2179,986,350,1461,1429,1493,1530,1434,515,493,478,441,461,464,428,448,41.0
344,15:23:20.885,957,993,958,2177,986,16,1459,1434,1494,1529,1435,516,494,480,443,463,465,424,442,41.0
345,15:23:25.322,956,992,958,2179,987,1778,1463,1432,1495,1527,1433,516,495,480,440,459,463,429,442,41.0
346,15:23:29.684,957,992,959,2177,986,13,1462,1431,1495,1528,1435,517,493,477,438,462,462,427,443,41.0
347,15:23:34.144,957,991,959,2177,988,1771,1464,1429,1495,1531,1434,515,491,478,439,461,467,423,444,41.0
348,15:23:38.565,957,993,959,2177,989,13,1462,1432,1493,1530,1432,517,492,480,441,459,466,426,445,41.0
349,15:23:42.924,956,993,960,2179,986,1772,1463,1430,1495,1527,1431,514,492,481,437,461,463,428,446,41.0
350,15:23:47.300,957,993,957,2177,988,13,1464,1431,1495,1527,1435,514,493,477,438,461,461,425,448,41.0
351,15:23:54.322,957,994,960,2178,988,11,1463,1431,1494,1528,1435,514,495,478,440,461,466,424,442,41.0
352,15:23:58.764,956,993,961,2179,986,1771,1463,1431,1493,1529,1434,517,494,478,441,459,464,424,444,41.0
353,15:24:03.141,957,995,960,2179,987,11,1460,1431,1496,1527,1434,516,492,478,441,460,461,426,446,41.0
354,15:24:07.582,956,993,959,2177,986,1771,1462,1431,1493,1527,1432,515,492,479,440,458,464,423,445,41.0
355,15:24:11.983,957,992,958,2178,988,10,1460,1432,1492,1529,1435,515,492,479,442,460,462,425,447,41.0
356,15:24:16.444,958,994,957,2177,986,1772,1461,1432,1495,1528,1434,516,491,481,438,459,465,425,443,41.0
357,15:24:20.823,956,990,959,2178,988,11,1462,1434,1497,1529,1434,514,494,481,441,460,463,425,446,41.0
358,15:24:25.202,955,994,957,2178,984,1770,1464,1430,1492,1527,1431,514,492,477,438,461,468,423,447,41.0
359,15:24:29.561,956,991,959,2178,986,9,1463,1432,1493,1528,1434,515,492,479,439,458,467,429,444,41.0
360,15:24:33.962,958,993,959,2177,987,1770,1461,1435,1495,1528,1434,518,493,481,438,458,464,428,448,41.0
361,15:24:41.164,956,993,957,2179,986,13,1459,1430,1496,1530,1433,517,496,476,437,459,463,425,446,41.0
362,15:24:45.549,956,992,962,2178,984,1769,1463,1430,1493,1528,1433,517,494,476,439,459,465,424,444,41.0
363,15:24:50.005,956,993,958,2180,985,10,1461,1431,1495,1528,1433,515,493,476,440,457,461,426,446,41.0
364,15:24:54.471,956,993,960,2177,986,1772,1464,1432,1496,1530,1435,516,496,477,441,457,463,428,444,41.0
365,15:24:58.907,958,994,957,2177,987,12,1462,1435,1496,1528,1432,514,494,477,443,463,461,424,449,41.0
366,15:25:03.283,959,993,958,2178,985,1772,1461,1433,1497,1528,1431,514,492,480,441,461,464,429,446,41.0
367,15:25:07.642,955,993,960,2179,988,10,1463,1433,1497,1529,1432,514,494,478,439,459,467,425,444,41.0
368,15:25:12.000,956,993,960,2178,987,1769,1462,1430,1493,1527,1431,518,494,478,441,459,464,427,444,41.0
369,15:25:16.501,957,995,960,2177,987,11,1463,1430,1497,1528,1432,516,493,479,440,462,465,426,444,41.0
370,15:25:20.902,956,995,959,2178,986,1769,1462,1433,1496,1529,1435,515,494,480,440,461,464,428,446,41.0
371,15:25:28.524,956,992,956,2178,986,16,1459,1432,1494,1528,1433,517,494,479,441,460,468,424,448,41.0
372,15:25:32.922,956,993,957,2180,985,1770,1460,1433,1495,1528,1435,516,496,480,441,462,464,426,446,41.0
373,15:25:37.402,956,992,958,2179,988,12,1461,1428,1493,1528,1433,514,497,478,437,460,462,423,443,41.0
374,15:25:41.822,957,991,958,2178,988,1770,1461,1429,1495,1528,1432,514,496,479,439,457,468,425,448,41.0
375,15:25:46.703,957,991,960,2178,987,11,1460,1430,1496,1528,1431,514,494,477,439,460,464,427,445,41.0
376,15:25:51.326,957,991,957,2179,986,1770,1461,1431,1495,1528,1436,517,492,479,439,461,463,425,448,41.0
377,15:25:56.082,956,993,957,2178,987,1775,1463,1429,1493,1528,1436,514,495,479,441,462,467,425,448,41.0
378,15:26:00.601,957,991,956,2181,986,10,1459,1428,1495,1528,1434,514,494,476,441,460,467,428,445,41.0
379,15:26:05.162,959,992,959,2179,987,18,1460,1433,1492,1529,1433,515,492,477,440,462,463,429,446,41.0
N_06-27-2018,Time,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
2,16:52:45.534,957,993,958,2181,987,1767,1460,1429,1496,1530,1434,500,494,478,439,459,463,423,443,40.0
3,16:52:49.965,956,993,958,2180,988,1768,1465,1431,1497,1530,1432,517,492,480,439,459,466,424,445,40.0
4,16:52:54.406,956,995,959,2180,985,1769,1459,1429,1495,1526,1435,516,494,481,438,462,464,423,448,40.0
5,16:52:58.883,955,992,958,2178,984,1772,1460,1430,1497,1530,1435,516,492,479,438,461,462,426,447,40.0
6,16:53:03.325,958,993,959,2180,984,1770,1463,1432,1496,1530,1433,514,494,480,441,460,462,426,447,40.0
7,16:53:07.883,959,995,960,2179,987,1770,1463,1429,1495,1528,1433,515,491,478,438,459,463,427,444,40.0
8,16:53:12.588,955,992,959,2180,988,1770,1462,1432,1494,1526,1436,516,493,478,440,462,466,426,444,40.0
9,16:53:17.026,955,993,959,2180,984,1770,1463,1434,1496,1529,1435,519,494,477,439,461,464,427,445,40.0
10,16:53:21.463,956,995,958,2178,988,1768,1461,1430,1495,1528,1433,517,492,479,442,460,466,423,445,40.0
11,16:53:28.464,958,991,956,2181,985,33,1458,1431,1494,1533,1432,518,495,477,440,461,464,425,448,40.0
12,16:53:32.923,956,995,959,2180,987,1777,1464,1431,1494,1528,1434,515,493,483,438,457,464,426,448,40.0
13,16:53:37.362,956,993,959,2178,987,1772,1464,1429,1496,1530,1434,516,495,482,440,462,463,424,447,40.0
14,16:53:41.766,955,994,959,2179,985,1771,1461,1429,1494,1531,1435,515,493,476,438,459,461,427,443,40.0
15,16:53:46.170,955,993,958,2180,988,1770,1460,1432,1494,1528,1435,517,494,477,440,461,462,424,442,40.0
16,16:53:50.703,959,994,957,2180,986,1769,1461,1431,1493,1528,1431,514,491,480,440,464,467,425,447,40.0
17,16:53:55.161,956,991,959,2179,985,1768,1461,1428,1495,1528,1433,514,496,479,441,463,463,424,447,40.0
18,16:53:59.625,956,993,960,2180,988,1770,1461,1428,1494,1529,1435,514,493,479,440,461,462,426,446,40.0
19,16:54:04.064,957,993,958,2178,988,1770,1461,1431,1496,1530,1432,518,493,480,439,457,463,424,445,40.0
20,16:54:08.562,956,994,959,2181,988,1769,1460,1432,1496,1529,1435,517,495,479,441,460,464,422,445,40.0
21,16:54:16.365,957,993,958,2179,986,43,1459,1430,1493,1529,1434,516,493,477,439,461,463,424,448,40.0
22,16:54:22.154,959,994,957,2179,986,1786,1461,1428,1493,1528,1434,518,494,476,441,460,463,425,447,40.0
23,16:54:26.883,956,995,957,2178,988,1770,1460,1429,1493,1528,1432,516,495,477,439,459,463,427,446,40.0
24,16:54:31.600,959,994,959,2181,985,1772,1463,1431,1492,1529,1434,516,493,478,438,462,464,427,445,40.0
25,16:54:36.937,957,994,959,2178,986,1770,1463,1431,1494,1530,1432,515,494,478,439,463,464,424,442,40.0
26,16:54:41.928,956,995,959,2180,988,1770,1461,1430,1494,1530,1436,518,492,478,437,460,464,428,446,40.0
27,16:54:46.744,957,990,958,2180,984,1773,1458,1428,1492,1533,1434,517,492,480,440,460,462,430,444,40.0
28,16:54:51.430,959,993,957,2179,986,1768,1462,1430,1494,1531,1435,517,492,476,441,460,462,426,446,40.0
29,16:54:56.088,955,992,959,2182,988,19,1460,1433,1495,1531,1434,516,495,477,444,461,464,426,445,40.0
30,16:55:01.248,956,994,958,2182,986,1771,1461,1431,1492,1532,1434,517,493,479,440,461,461,430,444,40.0
31,16:55:08.541,957,993,958,2181,984,43,1460,1432,1496,1529,1434,515,494,476,439,458,463,427,444,40.0
32,16:55:13.386,955,992,959,2180,985,1791,1464,1432,1495,1529,1436,517,494,480,441,462,466,430,447,40.0
33,16:55:18.146,958,992,959,2180,986,1769,1460,1428,1493,1529,1435,514,494,476,440,462,462,428,444,40.0
34,16:55:22.938,957,993,957,2180,985,66,1462,1433,1493,1530,1434,515,493,478,441,461,467,424,443,40.0
35,16:55:27.708,957,995,962,2179,986,1768,1459,1432,1496,1527,1434,519,492,476,440,460,462,424,445,40.0
36,16:55:32.276,957,994,960,2180,988,1767,1462,1432,1494,1529,1434,515,494,478,440,461,462,423,446,40.0
37,16:55:37.057,956,994,958,2179,988,17,1460,1433,1495,1529,1432,516,493,476,437,458,463,426,446,40.0
38,16:55:41.764,955,992,957,2181,986,1771,1464,1431,1493,1527,1433,517,492,480,440,459,464,427,442,40.0
39,16:55:46.602,957,994,960,2180,986,1770,1462,1433,1491,1527,1432,516,493,479,440,463,461,427,445,40.0
40,16:55:51.442,956,993,959,2179,988,1772,1461,1432,1493,1531,1431,516,493,479,439,460,463,425,447,40.0
41,16:55:58.902,957,993,960,2180,985,1770,1465,1433,1494,1529,1433,515,494,477,438,459,465,422,447,40.0
42,16:56:03.562,956,995,959,2180,986,1768,1462,1435,1492,1528,1434,516,496,479,437,460,464,425,446,40.0
43,16:56:08.124,956,992,957,2181,987,1773,1463,1431,1493,1532,1437,518,492,480,439,459,467,425,443,40.0
44,16:56:12.642,957,993,959,2179,988,1772,1458,1429,1492,1529,1433,517,492,479,437,459,465,422,449,40.0
45,16:56:17.308,956,993,957,2181,986,54,1464,1434,1495,1527,1435,518,492,480,439,461,463,425,443,40.0
46,16:56:22.009,956,995,961,2181,988,1768,1459,1430,1494,1528,1434,515,496,479,442,459,467,426,442,40.0
47,16:56:27.132,956,994,960,2180,988,1770,1464,1431,1494,1528,1435,517,494,479,439,461,462,425,442,40.0
48,16:56:32.296,956,993,958,2181,986,1767,1462,1432,1494,1528,1433,515,495,477,439,460,465,423,444,40.0
49,16:56:37.166,957,993,958,2181,986,1771,1461,1431,1495,1527,1433,517,494,478,437,460,463,424,448,40.0
50,16:56:43.009,957,993,957,2181,986,1769,1460,1432,1495,1528,1432,516,493,479,441,461,464,428,445,40.0
51,16:56:51.662,957,991,960,2181,984,1771,1459,1429,1493,1531,1435,516,493,478,440,460,463,427,444,40.0
52,16:56:56.165,958,993,959,2181,988,1770,1461,1431,1494,1527,1434,518,495,480,442,461,463,426,444,40.0
53,16:57:00.726,955,992,961,2179,986,1770,1464,1429,1496,1527,1435,514,493,481,438,459,461,426,445,40.0
54,16:57:05.324,956,990,958,2181,986,1770,1458,1432,1493,1533,1432,517,494,481,441,464,461,423,445,40.0
55,16:57:09.865,955,992,961,2180,988,1770,1459,1431,1492,1533,1437,515,491,481,437,461,464,424,448,40.0
56,16:57:14.887,956,993,959,2180,985,1773,1459,1432,1495,1526,1435,518,492,477,437,461,465,425,444,40.0
57,16:57:19.391,955,995,959,2179,988,1770,1462,1432,1493,1528,1435,517,492,478,439,462,462,425,447,40.0
58,16:57:24.022,956,994,958,2180,988,1772,1463,1429,1495,1527,1432,514,494,476,441,460,463,427,445,40.0
59,16:57:28.585,956,995,957,2180,987,21,1461,1432,1494,1530,1432,516,494,480,442,459,464,425,446,40.0
60,16:57:33.029,955,995,958,2181,986,1769,1463,1432,1494,1530,1435,516,496,478,442,459,464,423,446,40.0
61,16:57:40.104,957,992,957,2180,986,38,1464,1434,1496,1528,1436,514,492,479,440,461,466,424,446,40.0
62,16:57:44.547,955,993,957,2180,987,1770,1461,1430,1495,1528,1436,515,494,480,440,461,464,423,445,40.0
63,16:57:49.005,959,990,959,2180,985,1771,1463,1429,1496,1528,1437,517,495,481,441,462,464,428,446,40.0
64,16:57:53.802,955,994,960,2182,986,1771,1460,1432,1494,1528,1431,517,494,479,439,460,465,429,445,40.0
65,16:57:58.982,957,994,960,2182,988,1771,1459,1431,1492,1531,1436,514,492,480,440,462,464,426,442,40.0
66,16:58:04.562,956,994,959,2182,986,1770,1465,1431,1494,1528,1432,515,495,478,440,462,466,428,443,40.0
67,16:58:09.167,959,994,958,2181,985,1772,1461,1431,1492,1529,1434,517,494,480,439,463,463,426,447,40.0
68,16:58:13.702,957,993,958,2181,986,1772,1463,1430,1496,1530,1434,516,494,476,438,460,464,426,445,40.0
69,16:58:18.302,955,993,959,2182,986,1768,1462,1432,1496,1530,1433,517,494,478,437,459,461,424,448,40.0
70,16:58:23.183,958,992,960,2181,987,1769,1463,1431,1494,1532,1435,515,496,476,441,461,462,427,443,40.0
71,16:58:30.563,957,991,960,2181,985,1767,1461,1430,1494,1529,1434,517,495,480,440,458,462,422,447,40.0
72,16:58:35.062,956,993,958,2182,988,1770,1462,1434,1492,1529,1436,519,497,480,440,460,463,427,446,40.0
73,16:58:39.515,958,994,960,2180,988,16,1461,1431,1493,1528,1436,515,494,477,440,460,465,424,446,40.0
74,16:58:44.002,957,992,960,2179,990,1771,1459,1433,1493,1531,1434,514,496,477,439,460,464,425,446,40.0
75,16:58:48.483,954,991,959,2180,984,1770,1462,1431,1494,1528,1435,518,493,478,440,460,466,425,444,40.0
76,16:58:52.923,956,992,959,2180,988,15,1460,1429,1496,1532,1435,517,494,478,438,458,463,426,445,40.0
77,16:58:57.560,956,991,958,2180,985,1770,1458,1429,1493,1530,1433,516,493,479,442,458,462,426,447,40.0
78,16:59:01.982,956,993,958,2182,987,16,1462,1433,1494,1526,1434,515,493,479,439,460,465,426,443,40.0
79,16:59:06.404,955,995,958,2179,984,1772,1460,1432,1491,1527,1434,516,492,479,441,460,463,426,444,40.0
80,16:59:10.848,955,993,956,2180,988,1768,1461,1434,1494,1526,1435,518,493,480,443,461,462,423,444,40.0
81,16:59:17.882,956,992,958,2181,985,31,1461,1428,1493,1529,1434,517,494,480,441,458,462,425,443,40.0
82,16:59:22.362,956,991,960,2180,984,1772,1463,1433,1492,1526,1433,517,493,480,439,460,461,425,444,40.0
83,16:59:26.825,955,994,958,2179,987,39,1460,1431,1493,1528,1434,516,494,477,441,462,461,429,448,40.0
84,16:59:31.283,956,993,962,2179,986,49,1463,1433,1494,1530,1434,517,492,477,438,460,464,422,443,40.0
85,16:59:35.721,956,992,961,2180,987,1781,1463,1431,1494,1528,1435,516,492,478,440,459,462,427,444,40.0
86,16:59:40.203,956,995,961,2179,987,240,1460,1432,1494,1529,1436,519,492,479,441,460,463,426,444,40.0
87,16:59:44.740,956,992,960,2179,987,1769,1462,1433,1495,1528,1433,517,493,476,442,463,461,430,444,40.0
88,16:59:49.203,955,992,958,2181,987,14,1461,1433,1494,1530,1434,519,495,477,441,461,463,422,449,40.0
89,16:59:53.710,955,992,958,2179,988,1770,1462,1434,1496,1528,1432,515,493,478,438,460,461,423,447,40.0
90,16:59:58.222,957,992,959,2180,987,1769,1460,1432,1494,1528,1435,514,493,477,438,459,461,427,446,40.0
91,17:00:05.643,957,991,957,2179,987,52,1461,1431,1496,1530,1436,516,496,480,437,461,466,426,449,40.0
92,17:00:10.043,957,994,959,2180,988,1784,1460,1430,1493,1532,1434,518,494,477,439,461,464,428,446,40.0
93,17:00:14.442,956,992,960,2181,987,1770,1463,1431,1494,1533,1434,516,493,479,443,459,463,427,445,40.0
94,17:00:18.944,954,993,960,2180,985,1769,1459,1431,1494,1532,1433,515,493,477,441,458,461,427,445,40.0
95,17:00:23.417,957,991,960,2179,986,1770,1460,1429,1494,1531,1434,515,495,478,440,457,463,427,446,40.0
96,17:00:27.804,955,992,958,2179,985,1772,1464,1428,1492,1532,1434,519,495,478,440,460,462,427,442,40.0
97,17:00:32.141,955,991,959,2180,986,1772,1461,1430,1492,1531,1432,515,494,478,441,459,463,424,445,40.0
98,17:00:36.564,958,991,960,2179,986,1772,1459,1430,1496,1530,1432,516,496,477,442,460,463,426,444,40.0
99,17:00:41.042,955,992,959,2178,986,1772,1462,1431,1496,1533,1432,519,494,481,442,459,461,425,448,40.0
100,17:00:45.442,956,994,961,2180,986,57,1462,1430,1496,1530,1435,517,493,478,441,460,463,424,450,40.0
101,17:00:52.428,956,991,960,2180,984,1772,1459,1431,1493,1528,1434,517,496,480,441,461,464,423,445,40.0
102,17:00:57.227,957,993,960,2178,986,1770,1462,1434,1495,1527,1435,517,495,479,441,458,463,427,444,40.0
103,17:01:02.447,956,990,958,2181,986,1769,1460,1432,1495,1530,1434,515,493,480,438,461,461,427,448,40.0
104,17:01:07.584,957,990,956,2181,987,1770,1464,1431,1494,1529,1433,517,492,479,441,463,466,426,443,40.0
105,17:01:12.086,956,994,960,2181,988,1770,1461,1430,1495,1528,1431,515,494,476,441,460,465,426,445,40.0
106,17:01:16.836,956,994,960,2180,985,1769,1463,1434,1493,1530,1435,519,496,478,440,462,464,427,444,40.0
107,17:01:21.442,956,991,958,2179,986,14,1465,1432,1494,1528,1432,517,494,482,441,461,463,427,445,40.0
108,17:01:26.142,957,991,957,2181,986,1770,1462,1430,1496,1531,1436,519,495,481,441,461,467,426,444,40.0
109,17:01:30.681,957,992,959,2180,986,14,1461,1429,1492,1528,1435,515,492,480,437,460,461,426,443,40.0
110,17:01:35.161,956,993,958,2181,986,1771,1463,1429,1494,1528,1435,517,492,478,441,460,463,428,445,40.0
