N cycles,,VCM data,,,,lens data,,,,mirror data 
1,[1, 'FBDC4BDABDE218E2EDDAE505C905A306930459042004750407049104B0042604', 2, 'D93DDE3C8341894223396A094B09260A1908DD07FB094F0AE109690A8B0A010A'],,,,,[1, '3401960179019601DE007A004001FC00', 2, '380353031E03A8037F020C021603D502']
2,[1, '78DA91D9FEE09EE0C5D8E705C905A30694045A042004760408049004AF042404', 2, '3C3D753CAC40294288386B094E09260A1908DB07FD094F0AE3096C0A8B0A010A'],,,,,[1, '3501990177019601DE007B004001FC00', 2, '370353031D03A80380020C021403D602']
N cycles,,VCM data,,,,lens data,,,,mirror data 
1,[1, '81DC40DBD2E2B3E184DAE605C905A306940459042304730408048F04AE042504', 2, '9A3D843C07414D42E0386A094B09270A1808DB07FD094F0AE2096B0A8C0A010A'],,,,,[1, '3601990179019401DD007C003F01FC00', 2, '380353031D03A80380020C021703D502']
N cycles,,VCM data,,,,lens data,,,,mirror data 
2,[1, 'D0DC4ADC13E4F8E2FDDAE605C805A30693045A042204750407048E04B1042504', 2, '243E993CEC40E74287386A094B09260A1708DD07FD094F0AE2096C0A8B0A000A'],,,,,[1, '3701980178019401DC007C004301FE00', 2, '370353031D03A8037F020D021603D602']
3,[1, '6ADA3BDA48E10AE119D9E605CA05A306940459042104760408048F04B0042604', 2, 'F33D1E3C4B414642733869094A09260A1708DE07FD09500AE1096C0A8B0A020A'],,,,,[1, '340196017A019601DE007D004201FB00', 2, '380353031D03A8037F020C021503D602']
4,[1, '40DA0DDA53E1CAE030D9E705C705A106960459042004760408048E04AF042504', 2, '4D3D673C15417342EC376B094B09250A1908DD07FD094F0AE3096B0A8B0A000A'],,,,,[1, '3601990177019601DC007B004101FB00', 2, '370353031D03A80381020C021403D702']
N cycles,,VCM data,,,,lens data,,,,mirror data 
1,[1, 'AEDC7FDBDDE24BE24BDBE505CA05A30695045A042004760408048F04B0042504', 2, '803D4A3C1E41BF4108396A094B09260A1608DD07FD094E0AE3096B0A8A0A020A'],,,,,[1, '360198017A019801DD007C004001FD00', 2, '370353031D03A8037F020C021603D702']
2,[1, '1EDB0FDA15E1C9E059D9E505C905A30695045A042204730409048E04B1042304', 2, '213D883CC2409B42AB376A094B09260A1708DB07FD094F0AE3096B0A8B0A010A'],,,,,[1, '340199017A019501DF007D004101FF00', 2, '370356031D03A90380020D021503D702']
3,[1, '7BDB11DA10E152E10AD9E505C905A306920459042104750409048F04AE042504', 2, '263DEA3C3A41F141AC386A094A09250A1708DD07FB094F0AE3096B0A8B0AFF09'],,,,,[1, '3601980179019601DD007C004001FB00', 2, '380353031D03A70381020D021403D502']
N cycles,,VCM data,,,,lens data,,,,mirror data 
4,[1, 'ECDCA0DBC6E2FAE177DBE605C905A30693045B042004760409048F04AE042504', 2, 'B63DD43C5D41D641B1376B094C09240A1808DD07FD094F0AE3096C0A8B0AFF09'],,,,,[1, '360197017A019401DE007D003F01FD00', 2, '380353031D03A80381020B021603D902']
5,[1, 'C3DA26DA32E1EFE049D9E605C805A30695045A042104760407048F04AF042604', 2, '5C3DFA3BDE40284224386A094A09260A1708DD07FB094E0AE3096D0A8C0A010A'],,,,,[1, '340197017A019701DC007C004201FB00', 2, '370353031C03A80382020D021603D502']
N cycles,,VCM data,,,,lens data,,,,mirror data 
1,[1, '2EDD59DBEAE2AAE275DBE605C905A30695045B042104760408049004AF042504', 2, '9E3D6E3CF9401F42FC376A094C09260A1708DE07FD09520AE3096C0A8A0AFF09'],,,,,[1, '34019A0179019601DE007A003F01FE00', 2, '380353031C03A70380020C021603D602']
2,[1, '4FDB2EDA55E109E124D9E605C905A206950459042204760407048E04AF042404', 2, '2D3DB73B0B414342483869094C09260A1908DD07FD094F0AE3096C0A8B0AFF09'],,,,,[1, '3601970176019501DE007E004101FC00', 2, '370354031C03A80380020D021603D502']
3,[1, '4BDB41DA9DE117E118D9E605C905A20695045A042104750407049004AF042404', 2, '723D4B3C39411C4253386A094C09250A1808DB07FD094F0AE1096C0A8B0A010A'],,,,,[1, '3501970178019601DD007D004001FB00', 2, '370353031E03A80380020C021803D602']
N cycles,,VCM data,,,,lens data,,,,mirror data 
1,[1, '76DD89DBD6E24BE147DBE605C905A10695045A042104760407049104AF042504', 2, '543D0B3CDF406041EC3769094C09260A1908DD07FD094F0AE309690A8B0A000A'],,,,,[1, '3501980179019601DF007A004101FC00', 2, '370354031E03A7037F020C021603D702']
2,[1, '12DB9ADAFBE00FE1BDD8E505C905A106950459042104760407048F04B1042504', 2, '433D4B3CB541D3411A386B094B09260A1808DE07FD094F0AE2096B0A8C0A010A'],,,,,[1, '360196017A019801DD007D003F01FB00', 2, '370354031D03A7037F020C021403D802']
