N cycles,,VCM data,,,,lens data,,,,mirror data 
1,[1, '35C584AE9DBFE9C2E2BE3F053105B205260510061F03350371031D028F02F703', 2, 'FE3887AE5C375E399837DD0962097F09F408DB09F3084309500968085A09FE09'],,,,,[1, '04014A0100017C01B50136010F01CF00', 2, 'DC023C03D60264039D031103DF027402']
2,[1, '24C546AE8BBECFC204BF3F053105B3052A0510062003350371031D028F02F703', 2, '6739B0AE39374338A737DD0962097F09F408DB09F3084509510969085B09FF09'],,,,,[1, '03014A0102017801B40135010F01CC00', 2, 'DB023903D60264039E031003E0027002']
3,[1, '94C4FEC895BE21C34FBF40053305B405270510061F03330371031C029102F703', 2, 'FD386939EB365E38AF37DD0961097F09F108DB09F3084409510968085A09FD09'],,,,,[1, '0601480104017A01B60135011201CC00', 2, 'DC023A03D50265039D031303DF027302']
4,[1, 'D3C47EC896BEB2C328BF3E053105B20528050F061E03350370031D029102F503', 2, '4F3988391937E038CF38DF0961098009F008DB09F5084509510969085A09FD09'],,,,,[1, '0701480103017B01B60135011201CD00', 2, 'DC023903D60265039B031103E0027102']
5,[1, '0EC5F6C818BF6FC232BF3F053105B20529051106210334036E031D029102F503', 2, '55395C3932377A38D838DD0962097F09F208DD09F208420951096A085909FE09'],,,,,[1, '0601480101017801B60135010F01CD00', 2, 'DB023903D60264039D031203E0027002']
6,[1, 'F3C4F4C823BF3AC2ADBE40053105B205290510061F03340371031D029102F503', 2, '173952398137A038C538DF0961098009F208DB09F3084509510968085A09FE09'],,,,,[1, '0601470100017A01B40137011201CD00', 2, 'DC023A03D50264039C031103DF027302']
7,[1, '15C5DBC860BF33C33DBF3F053105B20529050F062003330370031D029102F603', 2, '2C39F038D336AD38F838DD0962098009F108DB09F308460952096B085909FC09'],,,,,[1, '0601470100017901B60137011001CF00', 2, 'DD023A03D70264039C031003E0027002']
N cycles,,VCM data,,,,lens data,,,,mirror data 
1,[1, 'bindfailed:Addressalreadyinuse', 2, 'bindfailed:Addressalreadyinuse'],,,,,[1, 'bindfailed:Addressalreadyinuse', 2, 'bindfailed:Addressalreadyinuse']
8,[1, 'ACC4A1C8EABEA0C2ECBE40053105B20528050F06200333036E031E029102F503', 2, '38392C392B3613382C38DF0960098009F108DA09F2084409510969085909FE09'],,,,,[1, '0701470103017B01B40135010F01CE00', 2, 'DC023903D60265039D031103E0027002']
2,[1, '0000000000000000000066063F06A606190602079404B704E904B20344047805', 2, '0000000000000000000066063F06A606190602079404B704E904B20344047805'],,,,,[1, '0701480102017B01B50138010F01D000', 2, 'bindfailed:Addressalreadyinuse']
9,[1, '19C568C927BF1CC355BF3E053205B205260511062003350370031E029002F703', 2, '733931397D377138E637DE0961097F09F108DD09F3084309520969085A09FD09'],,,,,[1, 'bindfailed:Addressalreadyinuse', 2, 'DC023903D70265039D031303E0027002']
3,[1, '733931397D377138E637DE0961097F09F108DD09F3084309520969085A09FD09', 2, 'F237CD37BD354A37A436DE0961097F09F108DD09F3084309520969085A09FD09'],,,,,[1, '0501490103017901B60139011001CE00', 2, '0501490103017901B60139011001CE00']
10,[1, 'C1C40DC9F5BE94C260BF40052F05B205270510061F0334036F031D029202F703', 2, 'E3398139D8366138A638DE0961098009F008DE09F4084209520968085A09FC09'],,,,,[1, '0501490103017901B60139011001CE00', 2, 'bindfailed:Addressalreadyinuse']
4,[1, '0000000000000000000067063F06A606190603079304B704E804B00341047905', 2, '113930396736A137B037DD0962097F09F208DE09F4084409510969085A09FE09'],,,,,[1, '04014A0102017901B40139011201CD00', 2, '04014A0102017901B40139011201CD00']
11,[1, 'CBC4A0C9F7BEFAC2E9BE3F053105B205280510061F03350371031E029102F503', 2, '19397039BE36CE38AE38DE0962097F09F208DB09F3084309530969085909FE09'],,,,,[1, '0301480104017801B50135011101CE00', 2, 'DC023903D60265039B031203DF027002']
