N_08-06-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,15:16:34.372,39740,38838,40571,39835,40690,1035,0,936,1131,1118,1536,1564,1530,1501,1584,1599,390,365,374,410,329,320,319,344,27.0
N_08-08-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
31,17:13:17.299,40543,39544,41156,40690,41473,1035,1963,935,1131,1116,1534,1564,1530,1500,1582,1603,30.0
32,17:13:19.579,40451,39619,41130,40806,41552,1035,1962,934,1133,1116,1533,1563,1530,1501,1584,1599,30.0
33,17:13:21.919,40358,39543,41178,40876,41639,1034,1962,934,1133,1115,1533,1563,1530,1502,1585,1599,30.0
34,17:13:24.218,40570,39758,41073,40593,41744,1034,1963,934,1131,1116,1535,1564,1532,1504,1584,1600,30.0
35,17:13:26.500,40377,39568,41056,40685,41662,1035,1962,934,1132,1118,1535,1563,1531,1501,1584,1598,30.0
36,17:13:28.823,40483,39655,41234,40780,41487,1034,1962,937,1134,1115,1531,1563,1532,1502,1585,1599,30.0
37,17:13:31.102,40546,39746,41196,40906,41539,1034,1964,934,1135,1115,1535,1561,1532,1501,1582,1602,30.0
38,17:13:33.767,40549,39655,41115,40736,41540,1033,1963,934,1133,1117,1535,1562,1531,1502,1583,1600,30.0
39,17:13:36.037,40325,39672,41210,40646,41673,1033,1962,934,1133,1115,1534,1563,1534,1500,1585,1600,30.0
40,17:13:38.242,40641,39647,41022,40774,41560,1035,1963,934,1131,1116,1536,1563,1533,1504,1584,1600,30.0
41,17:13:43.100,40496,39762,41119,40748,41717,1035,1962,935,1134,1113,1534,1564,1531,1499,1585,1602,30.0
42,17:13:45.372,40504,39690,41247,40772,41534,1034,1962,935,1134,1117,1536,1563,1529,1503,1584,1601,30.0
43,17:13:48.876,40596,39703,41060,40734,41693,1034,1960,933,1134,1117,1535,1563,1527,1502,1583,1602,31.0
44,17:13:51.299,40492,39703,41062,40764,41669,1032,1964,934,1133,1115,1533,1564,1530,1504,1585,1599,31.0
45,17:13:53.723,40395,39752,41123,40754,41594,1033,1964,935,1132,1117,1535,1561,1530,1504,1584,1599,31.0
46,17:13:56.133,40383,39631,41269,40806,41736,1035,1962,935,1134,1118,1532,1559,1529,1503,1585,1603,31.0
47,17:13:58.417,40492,39623,41329,40834,41747,1035,1962,934,1134,1116,1534,1563,1529,1500,1585,1600,31.0
48,17:14:00.677,40456,39551,41292,40834,41778,1033,1963,934,1135,1118,1533,1563,1528,1501,1583,1600,31.0
49,17:14:02.884,40468,39643,41166,40774,41503,1037,1962,937,1133,1118,1532,1563,1528,1502,1583,1601,31.0
50,17:14:05.110,40519,39624,41119,40703,41492,1033,1962,934,1133,1118,1533,1564,1531,1503,1583,1600,31.0
51,17:14:09.976,40401,39754,41178,40742,41416,1033,1963,933,1131,1114,1533,1563,1530,1502,1586,1599,31.0
52,17:14:12.178,40543,39667,41159,40781,41607,1035,1963,936,1133,1115,1533,1563,1531,1503,1582,1600,31.0
53,17:14:14.417,40538,39677,41194,40777,41666,1032,1963,933,1132,1118,1533,1563,1532,1502,1584,1602,31.0
54,17:14:16.640,40486,39693,41219,40708,41784,1032,1962,936,1135,1115,1534,1562,1533,1501,1584,1599,31.0
55,17:14:18.882,40386,39614,41166,40735,41655,1034,1963,933,1132,1116,1532,1562,1531,1502,1583,1598,31.0
56,17:14:21.129,40423,39682,41131,40667,41596,1035,1961,933,1133,1116,1532,1559,1533,1502,1585,1600,31.0
57,17:14:23.936,40310,39735,41194,40765,41567,1035,1961,934,1131,1115,1535,1563,1534,1500,1584,1604,31.0
58,17:14:26.219,40412,39686,41310,40844,41598,1033,1964,935,1135,1116,1534,1561,1531,1503,1585,1601,31.0
59,17:14:28.427,40455,39678,41298,40933,41558,1034,1962,934,1132,1114,1532,1561,1530,1501,1586,1599,31.0
60,17:14:30.680,40451,39617,41115,40840,41543,1033,1963,935,1134,1113,1534,1562,1532,1500,1583,1600,31.0
61,17:14:35.647,40365,39604,41158,40870,41699,1035,1963,935,1134,1116,1532,1563,1533,1501,1581,1599,31.0
62,17:14:38.042,40349,39681,41260,40630,41626,1034,1962,934,1133,1114,1534,1562,1534,1504,1586,1599,31.0
