N_08-06-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,15:16:34.372,39740,38838,40571,39835,40690,1035,0,936,1131,1118,1536,1564,1530,1501,1584,1599,390,365,374,410,329,320,319,344,27.0
N_08-08-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
5205,20:56:29.201,40381,39604,41228,40671,41562,1034,1949,935,1134,1118,1535,1561,1529,1501,1586,1599,41.0
5206,20:56:31.557,40512,39594,41155,40666,41482,1035,1950,933,1133,1116,1537,1561,1531,1501,1583,1602,41.0
5207,20:56:34.012,40459,39641,41083,40738,41584,1033,1950,934,1134,1114,1534,1562,1530,1503,1585,1602,41.0
5208,20:56:36.401,40611,39607,41221,40778,41613,1034,1950,936,1131,1116,1537,1562,1529,1502,1581,1600,41.0
5209,20:56:38.728,40417,39726,41235,40746,41567,1034,1950,935,1133,1115,1536,1562,1530,1500,1582,1599,41.0
5210,20:56:41.119,40562,39537,41192,40575,41676,1035,1950,933,1132,1116,1534,1563,1530,1503,1580,1598,41.0
5211,20:56:45.981,40361,39609,41210,40833,41639,1035,1951,936,1134,1119,1533,1563,1530,1503,1583,1598,41.0
5212,20:56:48.323,40373,39517,41159,40795,41643,1033,1951,934,1131,1117,1534,1562,1529,1500,1583,1600,41.0
5213,20:56:50.529,40469,39701,41039,40824,41605,1035,1951,936,1133,1117,1532,1564,1528,1501,1585,1599,41.0
5214,20:56:52.719,40531,39705,41019,40681,41792,1033,1950,936,1134,1118,1538,1563,1528,1502,1583,1599,41.0
5215,20:56:55.019,40456,39692,41187,40748,41448,1034,1951,935,1134,1115,1533,1563,1530,1500,1583,1602,41.0
5216,20:56:57.327,40502,39572,41149,40804,41573,1034,1951,935,1132,1120,1535,1563,1528,1500,1585,1600,41.0
5217,20:56:59.551,40438,39677,41189,40768,41551,1034,1951,933,1132,1117,1532,1565,1529,1501,1586,1599,41.0
5218,20:57:01.822,40459,39718,41156,40709,41528,1034,1950,935,1132,1118,1534,1562,1529,1502,1584,1599,41.0
5219,20:57:04.107,40478,39670,41116,40825,41754,1036,1950,935,1134,1114,1534,1563,1529,1501,1584,1599,41.0
5220,20:57:06.415,40369,39637,41300,40764,41388,1035,1951,935,1133,1113,1535,1564,1532,1502,1584,1598,41.0
5221,20:57:11.291,40601,39757,41089,40729,41685,1035,1950,935,1131,1116,1536,1565,1530,1501,1584,1599,41.0
5222,20:57:13.579,40399,39589,41255,40693,41654,1032,1950,935,1133,1116,1535,1565,1529,1503,1584,1602,41.0
5223,20:57:15.992,40475,39570,41193,40746,41606,1034,1949,935,1136,1117,1534,1562,1529,1499,1582,1599,41.0
5224,20:57:18.368,40492,39655,41241,40757,41558,1034,1950,936,1135,1117,1535,1564,1531,1501,1583,1602,41.0
5225,20:57:20.859,40466,39765,41156,40822,41627,1037,1951,937,1134,1118,1535,1564,1531,1502,1582,1599,41.0
5226,20:57:23.217,40498,39618,41172,40755,41627,1034,1951,934,1131,1119,1534,1563,1529,1500,1582,1603,41.0
5227,20:57:25.477,40517,39773,41269,40619,41549,1034,1950,936,1133,1117,1533,1563,1531,1500,1585,1599,41.0
5228,20:57:27.678,40436,39545,41188,40867,41679,1034,1951,935,1134,1118,1533,1562,1529,1500,1585,1599,41.0
5229,20:57:29.890,40513,39511,41144,40776,41664,1034,1950,936,1132,1115,1536,1561,1529,1502,1584,1600,41.0
5230,20:57:32.167,40397,39682,41146,40677,41577,1034,1950,936,1132,1116,1536,1561,1530,1502,1585,1602,41.0
5231,20:57:37.033,40442,39653,41144,40784,41669,1035,1949,935,1135,1117,1533,1564,1529,1504,1583,1600,41.0
5232,20:57:39.439,40501,39758,41200,40851,41527,1035,1949,936,1133,1118,1536,1564,1528,1499,1582,1602,41.0
5233,20:57:41.838,40504,39758,41255,40769,41672,1034,1950,935,1135,1118,1534,1561,1532,1501,1584,1600,41.0
5234,20:57:44.263,40515,39505,41202,40752,41554,1035,1948,936,1133,1114,1536,1560,1530,1503,1582,1600,41.0
5235,20:57:46.739,40366,39758,41280,40879,41611,1035,1949,933,1136,1113,1537,1562,1531,1502,1583,1601,41.0
5236,20:57:49.199,40514,39727,41232,40719,41675,1035,1950,936,1131,1117,1539,1560,1531,1503,1585,1602,41.0
5237,20:57:51.577,40591,39641,41053,40693,41541,1036,1950,935,1136,1116,1535,1562,1529,1501,1582,1599,41.0
5238,20:57:54.001,40537,39595,41114,40665,41685,1035,1951,936,1133,1116,1535,1562,1530,1503,1585,1599,41.0
5239,20:57:56.362,40333,39719,41352,40856,41532,1032,1949,935,1134,1116,1536,1563,1528,1501,1584,1600,41.0
5240,20:57:58.634,40614,39728,41183,40747,41578,1033,1951,936,1132,1116,1532,1561,1531,1501,1582,1603,41.0
5241,20:58:03.459,40493,39859,41094,40756,41531,1034,1950,936,1134,1117,1534,1562,1531,1500,1584,1600,41.0
5242,20:58:05.786,40393,39542,41155,40744,41582,1036,1951,935,1135,1118,1534,1562,1530,1501,1584,1601,41.0
5243,20:58:08.075,40504,39596,41229,40746,41522,1035,1950,934,1135,1118,1534,1561,1530,1499,1583,1600,41.0
5244,20:58:10.359,40373,39780,41169,40659,41496,1036,1951,935,1133,1118,1536,1562,1531,1500,1584,1599,41.0
5245,20:58:12.570,40517,39665,41198,40713,41626,1035,1951,936,1132,1117,1535,1564,1530,1501,1583,1599,41.0
5246,20:58:14.908,40527,39640,41094,40807,41712,1034,1950,936,1136,1114,1535,1563,1529,1501,1583,1601,41.0
5247,20:58:17.205,40502,39705,41236,40664,41563,1033,1949,935,1134,1117,1534,1564,1529,1502,1582,1600,41.0
5248,20:58:19.600,40433,39587,41030,40823,41641,1035,1951,935,1132,1118,1533,1560,1530,1501,1582,1600,41.0
5249,20:58:22.046,40564,39684,41246,40859,41549,1034,1949,936,1132,1117,1535,1563,1532,1501,1582,1602,41.0
5250,20:58:24.299,40377,39647,41203,40688,41599,1034,1950,936,1132,1118,1531,1559,1529,1501,1585,1602,41.0
5251,20:58:29.107,40472,39628,41268,40742,41695,1035,1951,935,1133,1116,1536,1561,1531,1501,1583,1598,41.0
5252,20:58:31.438,40605,39650,41249,40888,41622,1035,1951,935,1132,1118,1534,1562,1531,1501,1585,1597,41.0
5253,20:58:33.668,40490,39715,41147,40864,41508,1036,1951,937,1136,1118,1535,1562,1530,1501,1586,1602,41.0
5254,20:58:35.957,40318,39631,40941,40808,41507,1036,1952,936,1133,1118,1534,1563,1531,1502,1584,1601,41.0
5255,20:58:38.474,40515,39798,41188,40742,41602,1035,1952,936,1132,1117,1533,1563,1530,1498,1585,1599,41.0
5256,20:58:40.838,40560,39533,41322,40756,41647,1035,1951,936,1133,1114,1536,1562,1530,1501,1583,1600,41.0
5257,20:58:43.181,40434,39616,41121,40751,41673,1034,1951,936,1134,1118,1534,1560,1530,1503,1585,1601,41.0
5258,20:58:45.458,40451,39817,41074,40777,41603,1035,1950,937,1133,1116,1536,1564,1531,1500,1585,1601,41.0
5259,20:58:47.784,40368,39727,41176,40737,41505,1037,1950,936,1136,1113,1535,1561,1529,1500,1584,1599,41.0
5260,20:58:50.023,40402,39714,41124,40810,41514,1034,1951,935,1135,1117,1534,1562,1529,1502,1584,1602,41.0
5261,20:58:54.889,40441,39639,41154,40850,41442,1035,1950,934,1133,1117,1533,1562,1531,1501,1585,1600,41.0
5262,20:58:57.168,40310,39603,41186,40734,41585,1034,1951,936,1133,1116,1536,1562,1531,1501,1585,1600,41.0
5263,20:58:59.401,40487,39620,41124,40831,41662,1035,1950,936,1132,1119,1534,1564,1530,1500,1583,1603,41.0
5264,20:59:01.586,40398,39543,41067,40811,41687,1032,1952,937,1133,1114,1534,1563,1530,1504,1582,1602,41.0
5265,20:59:03.824,40380,39679,41065,40792,41718,1034,1950,936,1134,1117,1534,1564,1530,1501,1584,1598,41.0
5266,20:59:06.098,40601,39475,41164,40562,41501,1035,1950,936,1132,1116,1533,1562,1531,1503,1585,1600,41.0
5267,20:59:08.426,40345,39794,41139,40731,41692,1033,1950,935,1136,1118,1535,1563,1530,1504,1585,1599,41.0
5268,20:59:10.728,40443,39780,41279,40793,41544,1036,1950,938,1133,1114,1534,1561,1530,1502,1585,1602,41.0
5269,20:59:13.077,40465,39618,41265,40871,41627,1034,1950,937,1135,1114,1535,1562,1528,1500,1583,1596,41.0
5270,20:59:15.560,40544,39692,41169,40713,41592,1036,1950,935,1132,1116,1534,1565,1528,1502,1586,1600,41.0
5271,20:59:20.367,40494,39668,41163,40771,41447,1035,1951,936,1130,1117,1532,1562,1530,1501,1585,1599,41.0
5272,20:59:22.737,40449,39530,41110,40745,41697,1034,1950,935,1131,1118,1534,1560,1529,1502,1585,1601,41.0
5273,20:59:25.168,40447,39662,41264,40747,41545,1036,1951,936,1133,1115,1537,1564,1531,1501,1582,1601,41.0
5274,20:59:27.621,40428,39824,41121,40755,41517,1035,1951,936,1134,1120,1535,1562,1532,1502,1583,1597,41.0
5275,20:59:30.097,40463,39760,41171,40771,41609,1034,1950,934,1134,1115,1535,1562,1530,1500,1582,1602,41.0
5276,20:59:32.549,40417,39725,41188,40759,41744,1034,1952,935,1134,1114,1534,1562,1528,1504,1583,1599,41.0
5277,20:59:34.851,40491,39597,41173,40688,41559,1036,1951,935,1133,1119,1532,1565,1531,1501,1585,1601,41.0
5278,20:59:37.321,40557,39636,41020,40811,41653,1033,1950,937,1135,1117,1534,1562,1529,1500,1582,1602,41.0
5279,20:59:39.819,40528,39562,41140,40762,41615,1033,1950,934,1133,1115,1533,1560,1530,1501,1585,1601,41.0
5280,20:59:42.297,40428,39519,41210,40863,41632,1036,1950,936,1131,1118,1533,1562,1530,1503,1582,1602,41.0
5281,20:59:47.107,40387,39648,41308,40733,41626,1036,1950,936,1132,1116,1534,1565,1531,1500,1581,1600,41.0
5282,20:59:49.509,40373,39559,41181,40749,41730,1034,1951,937,1132,1118,1535,1561,1530,1501,1581,1601,41.0
5283,20:59:51.915,40467,39695,41199,40586,41620,1034,1952,935,1135,1118,1537,1564,1531,1503,1581,1598,41.0
5284,20:59:54.265,40534,39592,41291,40784,41623,1033,1949,936,1131,1115,1535,1565,1530,1501,1582,1602,41.0
5285,20:59:56.548,40393,39537,41136,40967,41515,1032,1950,936,1133,1118,1536,1561,1531,1502,1584,1598,41.0
5286,20:59:58.797,40368,39582,41297,40654,41656,1036,1950,935,1132,1115,1535,1562,1530,1503,1584,1598,41.0
5287,21:00:01.049,40409,39628,41109,40705,41589,1035,1948,936,1133,1114,1533,1564,1530,1503,1584,1600,41.0
5288,21:00:03.305,40387,39729,41169,40601,41551,1034,1950,936,1132,1113,1536,1564,1531,1502,1584,1601,41.0
5289,21:00:05.583,40549,39578,41174,40769,41626,1033,1950,935,1131,1116,1534,1562,1528,1503,1582,1601,41.0
5290,21:00:07.927,40490,39676,41138,40780,41589,1034,1949,936,1136,1115,1534,1564,1530,1503,1583,1599,41.0
5291,21:00:12.810,40517,39708,41062,40693,41620,1035,1950,936,1131,1117,1533,1564,1530,1502,1582,1600,41.0
5292,21:00:15.378,40436,39542,41157,40713,41698,1033,1950,936,1131,1116,1534,1564,1531,1500,1582,1603,41.0
5293,21:00:17.636,40489,39891,41132,40648,41613,1033,1950,934,1131,1115,1534,1561,1531,1500,1582,1597,41.0
5294,21:00:19.858,40541,39700,41301,40824,41714,1035,1950,936,1132,1118,1534,1563,1530,1502,1584,1600,41.0
5295,21:00:22.088,40652,39618,41426,40760,41648,1035,1948,934,1132,1117,1535,1563,1530,1505,1582,1601,41.0
5296,21:00:24.483,40336,39664,41217,40682,41595,1034,1950,936,1133,1116,1536,1563,1530,1503,1581,1598,41.0
5297,21:00:26.981,40507,39664,41307,40746,41686,1034,1950,934,1132,1118,1532,1562,1530,1500,1581,1600,41.0
5298,21:00:29.377,40522,39551,41097,40814,41530,1035,1951,934,1131,1117,1533,1561,1529,1503,1581,1600,41.0
5299,21:00:31.684,40502,39784,41059,40892,41578,1033,1952,935,1134,1118,1533,1562,1529,1501,1582,1600,41.0
5300,21:00:33.922,40454,39577,41088,40884,41520,1035,1951,935,1133,1118,1534,1563,1530,1501,1584,1600,41.0
5301,21:00:38.742,40521,39615,41195,40803,41683,1036,1950,936,1132,1118,1536,1560,1530,1503,1583,1599,41.0
5302,21:00:41.264,40685,39705,41172,40628,41596,1034,1951,936,1134,1117,1533,1562,1528,1501,1581,1601,41.0
5303,21:00:43.612,40434,39724,41206,40722,41601,1034,1949,936,1132,1116,1534,1561,1528,1501,1585,1602,41.0
5304,21:00:45.958,40443,39630,41152,40792,41586,1034,1950,936,1135,1117,1535,1564,1532,1504,1585,1602,41.0
5305,21:00:48.274,40540,39663,41197,40722,41685,1033,1950,935,1135,1117,1531,1562,1528,1502,1584,1600,41.0
5306,21:00:50.696,40563,39655,41258,40762,41512,1034,1951,934,1135,1118,1535,1564,1530,1502,1582,1601,41.0
5307,21:00:53.058,40525,39622,41236,40823,41524,1035,1951,936,1133,1118,1534,1563,1529,1501,1582,1602,41.0
5308,21:00:55.367,40489,39647,41327,40858,41496,1035,1950,934,1132,1117,1535,1563,1529,1503,1584,1602,41.0
5309,21:00:57.662,40578,39711,41171,40750,41660,1035,1951,935,1134,1119,1534,1563,1530,1503,1585,1599,41.0
5310,21:01:00.064,40586,39667,41261,40789,41431,1035,1951,934,1133,1117,1536,1563,1529,1502,1583,1602,41.0
5311,21:01:04.925,40386,39514,41185,40643,41536,1037,1950,935,1133,1119,1535,1561,1532,1504,1584,1600,41.0
5312,21:01:07.250,40317,39678,41169,40616,41503,1035,1952,937,1132,1118,1534,1562,1530,1500,1585,1602,41.0
5313,21:01:09.630,40602,39638,41187,40576,41595,1032,1949,936,1134,1118,1536,1562,1530,1503,1584,1599,41.0
5314,21:01:12.020,40446,39777,41140,40770,41506,1033,1950,936,1132,1114,1533,1563,1530,1501,1585,1598,41.0
5315,21:01:14.223,40485,39688,41171,40665,41550,1034,1952,934,1134,1118,1533,1564,1530,1501,1584,1602,41.0
5316,21:01:16.536,40605,39675,41174,40677,41652,1034,1951,936,1131,1117,1533,1561,1529,1504,1582,1600,41.0
5317,21:01:18.797,40434,39598,41111,40797,41694,1034,1951,935,1132,1115,1535,1560,1530,1502,1582,1599,41.0
5318,21:01:21.042,40379,39800,41205,40723,41482,1035,1951,935,1131,1119,1534,1562,1529,1501,1585,1601,41.0
5319,21:01:23.305,40397,39507,41086,40635,41594,1033,1951,935,1133,1116,1534,1562,1530,1500,1584,1600,41.0
5320,21:01:25.633,40461,39681,41080,40699,41596,1035,1951,934,1134,1116,1534,1561,1529,1501,1583,1599,41.0
5321,21:01:30.464,40399,39755,41187,40691,41607,1033,1950,934,1132,1118,1534,1561,1531,1502,1582,1599,41.0
5322,21:01:32.783,40334,39777,41268,40630,41616,1035,1950,937,1135,1115,1537,1562,1529,1501,1582,1601,41.0
5323,21:01:35.005,40508,39647,41212,40940,41480,1034,1949,934,1134,1117,1534,1561,1530,1501,1585,1602,41.0
5324,21:01:37.241,40449,39721,41251,40770,41646,1035,1950,934,1132,1114,1531,1562,1530,1502,1583,1600,41.0
5325,21:01:39.469,40528,39685,41200,40733,41653,1033,1951,935,1135,1117,1536,1562,1531,1502,1584,1603,41.0
5326,21:01:41.715,40353,39687,41119,40817,41581,1035,1950,935,1133,1117,1534,1561,1531,1501,1583,1602,41.0
5327,21:01:43.996,40408,39661,41249,40788,41550,1035,1951,935,1133,1118,1534,1561,1531,1499,1585,1603,41.0
5328,21:01:46.261,40440,39778,41168,40736,41616,1033,1949,934,1133,1118,1535,1562,1530,1501,1582,1599,41.0
5329,21:01:48.584,40535,39709,41180,40617,41554,1035,1950,936,1132,1117,1535,1565,1528,1503,1583,1601,41.0
5330,21:01:50.981,40436,39652,41306,40728,41563,1035,1951,937,1134,1117,1535,1562,1529,1502,1584,1603,41.0
5331,21:01:55.842,40492,39616,41301,40809,41651,1035,1951,935,1132,1118,1533,1560,1529,1500,1584,1599,41.0
5332,21:01:58.220,40523,39678,41313,40803,41543,1035,1951,936,1131,1117,1533,1560,1528,1500,1581,1602,41.0
5333,21:02:00.553,40607,39650,41328,40681,41669,1034,1950,935,1133,1118,1537,1562,1532,1501,1585,1600,41.0
5334,21:02:02.779,40530,39655,41113,40887,41510,1034,1950,936,1135,1116,1535,1562,1531,1500,1583,1599,41.0
5335,21:02:05.048,40421,39703,41139,40641,41690,1034,1950,935,1132,1116,1534,1562,1531,1503,1585,1602,41.0
5336,21:02:07.253,40469,39750,41258,40720,41706,1035,1949,933,1133,1117,1536,1561,1529,1501,1585,1601,41.0
5337,21:02:09.529,40539,39775,41267,40816,41734,1034,1951,935,1134,1116,1535,1564,1529,1502,1584,1601,41.0
5338,21:02:11.752,40616,39884,41230,40694,41711,1034,1952,933,1131,1117,1536,1564,1530,1502,1584,1601,41.0
5339,21:02:13.971,40546,39589,41150,40768,41612,1034,1951,934,1132,1118,1533,1565,1530,1504,1585,1601,41.0
5340,21:02:16.198,40520,39637,41189,40759,41502,1034,1950,936,1132,1117,1535,1563,1531,1504,1581,1599,41.0
5341,21:02:21.020,40447,39694,41164,40729,41590,1035,1951,936,1131,1117,1532,1561,1530,1501,1585,1600,41.0
5342,21:02:23.279,40503,39801,41119,40680,41546,1033,1950,935,1133,1117,1533,1560,1530,1504,1582,1601,41.0
5343,21:02:25.709,40523,39594,41265,40719,41654,1033,1950,934,1131,1116,1535,1563,1528,1502,1585,1599,41.0
5344,21:02:28.198,40504,39740,41116,40813,41698,1033,1950,936,1132,1118,1534,1562,1527,1503,1582,1600,41.0
5345,21:02:30.579,40419,39630,41153,40807,41587,1035,1951,936,1134,1118,1535,1562,1527,1501,1583,1599,41.0
5346,21:02:32.789,40522,39557,41266,40645,41718,1033,1952,936,1132,1115,1534,1561,1529,1501,1583,1600,41.0
5347,21:02:35.093,40462,39557,41078,40853,41659,1034,1951,937,1133,1117,1534,1562,1529,1501,1584,1598,41.0
5348,21:02:37.532,40472,39715,41234,40743,41583,1034,1950,935,1133,1115,1534,1561,1529,1501,1582,1598,41.0
5349,21:02:39.848,40519,39735,41170,40781,41633,1035,1952,936,1132,1117,1536,1562,1527,1503,1585,1600,41.0
5350,21:02:42.047,40476,39781,41263,40875,41710,1035,1949,935,1134,1116,1533,1562,1529,1500,1582,1601,41.0
5351,21:02:47.001,40465,39599,41223,40742,41650,1035,1951,935,1131,1116,1533,1563,1532,1502,1582,1598,41.0
5352,21:02:49.531,40543,39738,41123,40857,41505,1034,1951,936,1132,1119,1533,1564,1531,1501,1585,1601,41.0
5353,21:02:51.842,40416,39691,41037,40847,41651,1037,1951,935,1135,1117,1537,1563,1530,1499,1583,1601,41.0
5354,21:02:54.121,40431,39686,41171,40743,41531,1034,1949,936,1132,1118,1535,1562,1528,1502,1581,1601,41.0
5355,21:02:56.515,40578,39602,41194,40677,41658,1035,1953,935,1133,1117,1534,1563,1530,1500,1586,1602,41.0
5356,21:02:58.819,40484,39701,41194,40763,41628,1035,1952,936,1135,1118,1532,1561,1529,1503,1581,1602,41.0
5357,21:03:01.261,40294,39644,41193,40782,41689,1033,1950,938,1132,1115,1534,1563,1531,1503,1584,1600,41.0
5358,21:03:03.488,40596,39665,41141,40664,41620,1035,1949,936,1132,1116,1533,1563,1529,1502,1584,1601,41.0
5359,21:03:05.738,40562,39713,41285,40696,41576,1034,1950,935,1133,1118,1534,1561,1530,1500,1584,1598,41.0
5360,21:03:07.954,40518,39854,41252,40700,41618,1035,1950,934,1133,1119,1535,1561,1530,1502,1584,1600,41.0
5361,21:03:12.756,40458,39820,40986,40775,41727,1034,1950,935,1132,1115,1535,1563,1528,1502,1585,1599,41.0
5362,21:03:15.045,40510,39680,41211,40707,41599,1035,1949,935,1132,1117,1534,1564,1530,1501,1585,1597,41.0
5363,21:03:17.263,40452,39672,41079,40852,41664,1033,1949,934,1131,1117,1534,1561,1530,1500,1582,1600,41.0
5364,21:03:19.479,40443,39529,41141,40873,41488,1034,1950,936,1133,1117,1534,1561,1529,1503,1584,1602,41.0
5365,21:03:21.810,40334,39825,41076,40787,41639,1035,1951,936,1134,1117,1536,1564,1530,1500,1583,1599,41.0
5366,21:03:24.179,40428,39662,41176,40716,41532,1036,1950,935,1132,1117,1532,1561,1531,1501,1584,1599,41.0
5367,21:03:26.646,40481,39736,41088,40683,41499,1034,1949,935,1132,1117,1534,1563,1530,1501,1581,1597,41.0
5368,21:03:29.118,40420,39602,41139,40836,41690,1036,1950,934,1135,1118,1534,1563,1530,1500,1585,1602,41.0
5369,21:03:31.554,40456,39681,41157,40803,41626,1034,1950,936,1132,1116,1535,1562,1531,1503,1584,1600,41.0
5370,21:03:34.055,40556,39694,41382,40883,41630,1037,1952,935,1132,1118,1534,1562,1530,1503,1585,1601,41.0
5371,21:03:38.894,40466,39767,41201,40706,41565,1036,1951,936,1135,1117,1535,1561,1529,1502,1584,1600,41.0
5372,21:03:41.281,40497,39737,41015,40753,41530,1034,1951,937,1133,1115,1535,1560,1531,1503,1581,1601,41.0
5373,21:03:43.751,40609,39445,41139,40768,41694,1033,1949,935,1134,1118,1533,1561,1528,1498,1584,1600,41.0
5374,21:03:46.078,40589,39592,41297,40778,41652,1035,1950,934,1133,1117,1534,1562,1530,1502,1583,1602,41.0
5375,21:03:48.395,40652,39636,41271,40826,41591,1033,1951,934,1133,1116,1532,1565,1530,1502,1584,1602,41.0
5376,21:03:50.685,40435,39729,41249,40650,41546,1034,1950,934,1134,1118,1534,1561,1529,1500,1581,1601,41.0
5377,21:03:52.977,40483,39727,41039,40690,41550,1035,1949,937,1132,1118,1534,1565,1528,1499,1585,1600,41.0
5378,21:03:55.236,40455,39830,41225,40738,41634,1034,1950,935,1131,1114,1533,1562,1530,1500,1584,1600,41.0
5379,21:03:57.456,40544,39670,41030,40705,41674,1034,1950,936,1133,1115,1535,1564,1530,1502,1583,1599,41.0
5380,21:03:59.854,40390,39589,41263,40700,41582,1035,1950,935,1136,1117,1534,1561,1530,1503,1582,1600,41.0
5381,21:04:04.710,40420,39761,41047,40783,41566,1034,1951,936,1132,1119,1536,1563,1531,1500,1581,1598,41.0
5382,21:04:07.312,40535,39704,41153,40900,41590,1034,1950,936,1133,1116,1533,1562,1531,1502,1584,1601,41.0
5383,21:04:09.749,40533,39713,41185,40604,41614,1035,1950,936,1134,1117,1537,1564,1529,1501,1582,1601,41.0
5384,21:04:12.056,40490,39740,41197,40829,41573,1036,1949,937,1134,1118,1534,1564,1531,1499,1584,1600,41.0
5385,21:04:14.378,40516,39688,41158,40903,41573,1032,1950,935,1132,1118,1535,1562,1532,1501,1584,1598,41.0
5386,21:04:16.649,40540,39631,41260,40735,41537,1035,1950,936,1133,1116,1533,1563,1530,1500,1584,1599,41.0
5387,21:04:18.887,40428,39568,41160,40736,41524,1032,1950,936,1132,1114,1534,1562,1529,1504,1585,1603,41.0
5388,21:04:21.134,40330,39594,41261,40722,41548,1033,1950,936,1133,1118,1534,1561,1530,1503,1582,1600,41.0
5389,21:04:23.503,40553,39707,41254,40665,41625,1035,1950,936,1132,1119,1533,1560,1532,1503,1584,1600,41.0
5390,21:04:25.929,40567,39702,41216,40815,41534,1034,1951,933,1133,1118,1535,1563,1531,1500,1583,1601,41.0
5391,21:04:30.717,40528,39700,41038,40651,41735,1036,1950,936,1133,1115,1535,1563,1530,1502,1583,1602,41.0
5392,21:04:33.251,40591,39738,41249,40901,41568,1034,1950,935,1131,1116,1534,1563,1530,1501,1581,1600,41.0
5393,21:04:35.559,40548,39610,41089,40839,41636,1033,1950,934,1134,1116,1533,1560,1530,1501,1585,1601,41.0
5394,21:04:37.878,40287,39532,41332,40748,41697,1034,1951,935,1135,1117,1534,1563,1531,1502,1584,1600,41.0
5395,21:04:40.167,40330,39610,41086,40669,41573,1034,1950,934,1133,1116,1535,1562,1531,1500,1585,1602,41.0
5396,21:04:42.425,40401,39694,41126,40835,41656,1035,1950,934,1135,1115,1533,1562,1529,1500,1585,1599,41.0
5397,21:04:44.723,40475,39722,41162,40829,41502,1034,1952,936,1133,1114,1532,1562,1529,1503,1586,1600,41.0
5398,21:04:46.978,40532,39684,41138,40838,41574,1035,1950,935,1132,1116,1534,1564,1532,1499,1582,1603,41.0
5399,21:04:49.203,40468,39573,41106,40637,41689,1033,1950,936,1133,1117,1532,1563,1532,1502,1582,1600,41.0
5400,21:04:51.460,40359,39568,41155,40758,41441,1034,1950,936,1131,1118,1532,1564,1530,1502,1583,1602,41.0
5401,21:04:56.277,40400,39764,41258,40832,41499,1035,1951,937,1133,1117,1534,1560,1531,1501,1581,1601,41.0
5402,21:04:58.819,40378,39556,41040,40706,41632,1036,1950,936,1132,1118,1536,1562,1532,1502,1587,1601,41.0
5403,21:05:01.209,40565,39628,41152,40617,41562,1033,1950,934,1132,1115,1536,1564,1530,1500,1586,1601,41.0
5404,21:05:03.570,40481,39610,41160,40781,41563,1035,1949,933,1134,1116,1533,1560,1530,1501,1581,1601,41.0
5405,21:05:05.977,40439,39620,41042,40747,41676,1035,1949,936,1133,1118,1535,1562,1531,1501,1584,1601,41.0
5406,21:05:08.275,40337,39655,41092,40790,41684,1033,1950,935,1133,1119,1535,1562,1532,1501,1581,1601,41.0
5407,21:05:10.593,40490,39593,41139,40724,41553,1035,1951,934,1133,1118,1534,1562,1529,1504,1585,1599,41.0
5408,21:05:12.867,40519,39700,41179,40818,41582,1033,1950,935,1133,1116,1533,1564,1530,1500,1585,1601,41.0
5409,21:05:15.138,40524,39715,41256,40800,41715,1034,1951,934,1134,1117,1532,1565,1528,1501,1584,1599,41.0
5410,21:05:17.436,40627,39616,41186,40802,41570,1034,1950,934,1131,1118,1534,1563,1530,1502,1583,1599,41.0
5411,21:05:22.400,40505,39557,41120,40715,41615,1035,1951,934,1132,1120,1536,1564,1529,1504,1582,1600,41.0
5412,21:05:24.888,40373,39484,41016,40808,41754,1034,1951,936,1133,1116,1536,1563,1529,1502,1583,1602,41.0
5413,21:05:27.208,40451,39711,41115,40922,41565,1034,1952,936,1133,1117,1534,1562,1530,1504,1584,1599,41.0
5414,21:05:29.469,40618,39702,41273,40808,41467,1034,1949,934,1134,1118,1536,1563,1531,1501,1584,1600,41.0
5415,21:05:31.856,40391,39677,41171,40558,41558,1033,1952,935,1133,1117,1534,1562,1529,1501,1581,1600,41.0
5416,21:05:34.096,40507,39675,41151,40672,41587,1035,1951,937,1133,1120,1533,1562,1528,1501,1584,1602,41.0
5417,21:05:36.345,40562,39545,41234,40612,41652,1034,1951,935,1134,1117,1534,1563,1531,1500,1583,1602,41.0
5418,21:05:38.656,40561,39583,41305,40866,41438,1033,1950,937,1135,1116,1533,1560,1529,1500,1584,1601,41.0
5419,21:05:41.040,40479,39514,41189,40739,41697,1034,1949,935,1132,1117,1534,1562,1528,1503,1582,1601,41.0
5420,21:05:43.250,40501,39663,41180,40890,41508,1033,1951,936,1132,1117,1533,1562,1530,1501,1585,1601,41.0
5421,21:05:48.126,40487,39626,41140,40975,41549,1033,1950,936,1132,1117,1534,1564,1530,1504,1586,1601,41.0
5422,21:05:50.445,40396,39788,41307,40828,41711,1034,1952,937,1133,1115,1532,1563,1530,1505,1583,1598,41.0
5423,21:05:52.769,40534,39735,41063,40789,41534,1034,1952,937,1132,1113,1534,1563,1530,1501,1580,1601,41.0
5424,21:05:55.163,40433,39688,41105,40662,41589,1035,1951,934,1134,1118,1533,1562,1530,1503,1581,1603,41.0
