N_07-30-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
N_07-30-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,16:07:57.554,40854,40511,41588,41082,41743,901,899,899,898,899,1502,1499,1502,1500,1499,1502,515,444,420,532,419,399,468,474,42.0
2,16:08:01.274,40557,40361,41033,40822,41335,903,898,900,899,898,1501,1497,1501,1501,1499,1501,512,443,419,531,419,404,467,475,42.0
3,16:08:05.099,40473,40330,41145,40659,41187,900,896,899,897,901,1500,1498,1499,1500,1501,1498,515,441,421,529,422,401,467,476,42.0
4,16:08:08.826,40050,40400,41210,40718,41197,901,897,903,902,899,1500,1497,1500,1498,1500,1499,516,441,423,531,420,401,466,470,42.0
N_07-30-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
5,16:08:29.384,40855,40899,41535,41124,41753,902,898,899,902,899,1500,1496,1499,1500,1498,1498,516,445,420,531,420,398,465,476,42.0
6,16:08:33.198,40302,40351,40845,40774,41271,902,900,899,899,903,1500,1498,1501,1500,1501,1501,517,445,419,530,417,402,470,474,42.0
7,16:08:37.053,40340,40576,41158,40685,41056,902,899,900,900,899,1499,1497,1501,1497,1502,1501,516,446,419,527,418,401,467,473,42.0
8,16:08:40.787,40369,40380,40993,40682,41144,900,898,898,903,898,1499,1498,1499,1498,1502,1499,517,444,421,532,418,403,469,472,42.0
9,16:08:44.515,40262,40317,41312,40651,41197,898,897,900,902,901,1501,1501,1500,1499,1500,1500,515,442,423,529,416,401,471,475,42.0
10,16:08:48.346,40211,40459,41066,40712,41056,902,900,901,900,900,1498,1498,1498,1500,1501,1500,516,443,423,531,420,401,467,473,42.0
11,16:08:56.664,40963,40701,41340,41100,41729,901,898,898,900,900,1501,1501,1499,1497,1500,1498,513,444,420,532,419,400,468,476,42.0
12,16:09:01.903,40407,40405,41085,40852,41153,901,898,903,898,900,1499,1500,1500,1500,1500,1501,513,443,420,530,420,397,472,477,42.0
13,16:09:06.068,40291,40563,41115,40742,41198,902,897,898,900,899,1500,1499,1501,1501,1500,1501,514,444,421,531,422,402,466,474,42.0
N_07-30-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,16:09:31.652,40942,40723,41359,40676,41805,902,899,901,902,899,1501,1499,1501,1498,1501,1498,515,444,423,528,419,402,470,476,42.0
2,16:09:35.390,40378,40460,40994,40749,41086,900,897,900,902,901,1500,1498,1500,1498,1502,1499,514,442,421,532,419,401,472,476,42.0
N_07-30-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
