N_06-27-2018,Time,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,B4 temp.
40,18:27:14.037,37102,40931,43981,36681,38154,957,992,961,2181,985,1771,1460,1431,1495,1529,1435,40.0
41,18:27:21.071,37028,41069,44074,36732,38139,958,993,957,2183,986,20,1461,1428,1492,1532,1435,40.0
42,18:27:24.159,37148,40725,43974,36866,37972,957,991,961,2183,985,1770,1464,1429,1494,1532,1434,40.0
43,18:27:27.320,37112,40999,43990,36784,38069,958,993,957,2184,984,11,1461,1429,1494,1532,1434,40.0
44,18:27:30.279,37158,40665,43953,36765,38089,958,992,960,2183,985,1757,1464,1430,1494,1531,1433,40.0
45,18:27:33.400,37171,41063,43977,36645,38184,958,995,960,2181,985,10,1465,1429,1495,1530,1432,40.0
46,18:27:39.576,36836,40903,43814,36813,38213,957,994,959,2183,986,17,1461,1429,1494,1530,1431,40.0
47,18:27:42.501,37046,40780,44002,36880,38045,958,994,961,2183,987,1770,1462,1431,1496,1530,1434,40.0
48,18:27:45.688,37200,40783,44107,36866,38089,960,996,959,2182,984,11,1461,1430,1495,1530,1433,40.0
49,18:27:50.391,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
50,18:27:54.822,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
51,18:27:57.915,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
52,18:28:00.447,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
53,18:28:02.997,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
54,18:28:05.249,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
55,18:28:07.424,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
56,18:28:09.589,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
57,18:28:11.760,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
58,18:28:13.926,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
59,18:28:16.140,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
60,18:28:18.297,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
61,18:28:20.910,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
62,18:28:23.083,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
63,18:28:25.262,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
64,18:28:27.453,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
65,18:28:29.616,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
66,18:28:31.780,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
67,18:28:33.939,37082,40939,43802,36727,38151,956,993,958,2183,987,1770,1460,1433,1493,1530,1435,--
