N cycles,,VCM data,,,,lens data,,,,mirror data 
N cycles,,VCM data,,,,lens data,,,,mirror data 
N cycles,,VCM data,,,,lens data,,,,mirror data 
N cycles,,VCM data,,,,lens data,,,,mirror data 
N cycles,,VCM data,,,,lens data,,,,mirror data 
N cycles,,VCM data,,,,lens data,,,,mirror data 
N cycles,,VCM data,,,,lens data,,,,mirror data 
N cycles,,VCM data,,,,lens data,,,,mirror data 
N cycles,,VCM data,,,,lens data,,,,mirror data 
N cycles,,VCM data,,,,lens data,,,,mirror data 
N cycles,,VCM data,,,,lens data,,,,mirror data 
N cycles,,VCM data,,,,lens data,,,,mirror data 
N cycles,,VCM data,,,,lens data,,,,mirror data 
1,[1, '0000240000000000', 2, 'E0C30BCAFABFE8C7']
83,[1, '00000000000055013801', 2, '00000000000055013801']
84,[1, '00000000000055013801', 2, '00000000000055013801']
85,[1, '00000000000055013801', 2, '00000000000055013801']
86,[1, '00000000000055013801', 2, '00000000000055013801']
87,[1, '00000000000055013801', 2, '00000000000055013801']
88,[1, '00000000000055013801', 2, '00000000000055013801']
89,[1, '00000000000055013801', 2, '00000000000055013801']
90,[1, '00000000000055013801', 2, '00000000000055013801']
91,[1, '00000000000056013801', 2, '00000000000056013801']
92,[1, '00000000000056013801', 2, '00000000000056013801']
93,[1, '00000000000056013801', 2, '00000000000056013801']
94,[1, '00000000000056013801', 2, '00000000000056013801']
95,[1, '00000000000056013801', 2, '00000000000056013801']
96,[1, '00000000000056013801', 2, '00000000000056013801']
97,[1, '00000000000056013801', 2, '00000000000056013801']
98,[1, '00000000000056013801', 2, '00000000000056013801']
99,[1, '00000000000056013801', 2, '00000000000056013801']
100,[1, '00000000000056013801', 2, '00000000000056013801']
101,[1, '00000000000056013601', 2, '00000000000056013601']
102,[1, '00000000000056013601', 2, '00000000000056013601']
103,[1, '00000000000056013601', 2, '00000000000056013601']
104,[1, '00000000000056013601', 2, '00000000000056013601']
105,[1, '00000000000056013601', 2, '00000000000056013601']
106,[1, '00000000000056013601', 2, '00000000000056013601']
107,[1, '00000000000056013601', 2, '00000000000056013601']
108,[1, '00000000000056013601', 2, '00000000000056013601']
109,[1, '00000000000056013601', 2, '00000000000056013601']
110,[1, '00000000000056013601', 2, '00000000000056013601']
111,[1, '00000000000056013601', 2, '00000000000056013601']
112,[1, '00000000000056013601', 2, '00000000000056013601']
113,[1, '00000000000056013601', 2, '00000000000056013601']
114,[1, '00000000000056013601', 2, '00000000000056013601']
115,[1, '00000000000056013601', 2, '00000000000056013601']
116,[1, '00000000000056013601', 2, '00000000000056013601']
117,[1, '00000000000056013601', 2, '00000000000056013601']
118,[1, '00000000000056013601', 2, '00000000000056013601']
119,[1, '00000000000056013601', 2, '00000000000056013601']
120,[1, '00000000000056013601', 2, '00000000000056013601']
121,[1, '00000000000056013601', 2, '00000000000056013601']
122,[1, '00000000000056013601', 2, '00000000000056013601']
123,[1, '00000000000056013601', 2, '00000000000056013601']
124,[1, '00000000000056013601', 2, '00000000000056013601']
125,[1, '00000000000056013601', 2, '00000000000056013601']
126,[1, '00000000000056013601', 2, '00000000000056013601']
127,[1, '00000000000056013601', 2, '00000000000056013601']
128,[1, '00000000000056013601', 2, '00000000000056013601']
129,[1, '00000000000056013601', 2, '00000000000056013601']
130,[1, '00000000000056013601', 2, '00000000000056013601']
131,[1, '00000000000055013701', 2, '00000000000055013701']
132,[1, '00000000000055013701', 2, '00000000000055013701']
133,[1, '00000000000055013701', 2, '00000000000055013701']
N cycles,,VCM data,,,,lens data,,,,mirror data 
1,[1, 'D43600008536', 2, 'EFC3EBBDDAC7']
2,[1, 'F436DC353337', 2, 'D9C3A8BDDAC7']
3,[1, 'B636CE358037', 2, 'FEC31DBE11C8']
4,[1, '1F37F4354037', 2, 'DAC3D6BD15C8']
5,[1, 'E63685352537', 2, 'C6C3AEBD55C8']
6,[1, '54370A368137', 2, '28C410BE06C8']
7,[1, 'F536FA351737', 2, '95C320BEDDC7']
8,[1, '2B370F363637', 2, 'ADC3C2BDEDC7']
9,[1, 'AF36CF354937', 2, '09C4DDBD1DC8']
10,[1, 'C636FE35FD36', 2, '2FC42ABEF4C7']
11,[1, 'E9363C363937', 2, 'C2C359BE10C8']
12,[1, 'EF361836FF36', 2, 'F5C32CBE38C8']
13,[1, 'EC36E235BF36', 2, 'D0C3EABD04C8']
14,[1, 'E93625366437', 2, 'D7C32FBEE1C7']
15,[1, 'FF36D535BA36', 2, 'EEC301BEE7C7']
16,[1, '343705363D37', 2, 'FFC3E4BD5DC8']
17,[1, '0C37E6351537', 2, '0CC409BE02C8']
18,[1, 'EA36F735D236', 2, 'E7C332BE54C8']
19,[1, 'A036F835FA36', 2, 'EDC3DABDDEC7']
20,[1, 'FF36AB353E37', 2, 'C3C3F6BD05C8']
21,[1, 'E1360F36F736', 2, 'C5C3FBBD1CC8']
22,[1, '0F37F7353037', 2, '49C4D4BD1AC8']
23,[1, '1C37AD358636', 2, 'DDC309BE0AC8']
24,[1, '173732361137', 2, 'F1C334BECBC7']
25,[1, 'FD364736EF36', 2, '3BC4AABDE7C7']
26,[1, 'FE3625362B37', 2, 'E5C306BEBFC7']
N cycles,,VCM data,,,,lens data,,,,mirror data 
1,[1, '2637FB35F935C836', 2, '0ECA1ABE10C012C8']
N cycles,,VCM data,,,,lens data,,,,mirror data 
N cycles,,VCM data,,,,lens data,,,,mirror data 
N cycles,,VCM data,,,,lens data,,,,mirror data 
