N_07-16-2018,Time,A1,A2,A3,A4,A5,L_B1,L_B2,L_B3,L_B4,L_B5,L_C1,L_C2,L_C3,L_C4,L_C5,L_C6,M_B1,M_B2,M_B3,M_B5,M_C1,M_C2,M_C3,M_C4,B4 temp.
1,12:08:14.522,35046,36819,36285,36131,35520,964,1012,1005,1005,998,1454,1542,1675,1675,1714,1539,505,506,501,418,488,466,527,460,30.0
2,12:08:18.563,34912,36690,36161,36323,35637,964,1012,1003,1001,998,1456,1544,1676,1675,1716,1540,504,506,502,421,488,471,526,462,30.0
3,12:08:22.602,34883,36746,36322,36227,35548,964,1011,1004,1002,997,1454,1542,1678,1675,1715,1536,505,509,501,418,489,470,529,462,30.0
4,12:08:26.623,35052,36806,36402,36340,35600,964,1011,1004,1000,996,1456,1542,1676,1674,1716,1538,504,505,501,420,487,472,526,464,30.0
5,12:08:30.762,35049,36907,36286,36176,35504,962,1014,1004,1000,998,1458,1541,1674,1674,1711,1538,504,506,499,420,485,471,528,462,31.0
6,12:08:34.824,34966,36924,36458,36134,35665,963,1011,1003,1000,996,1456,1543,1677,1674,1714,1540,505,509,499,419,487,467,530,461,31.0
7,12:08:38.845,34916,36835,36367,36235,35385,964,1012,1005,999,995,1454,1543,1678,1675,1713,1540,502,504,500,419,488,469,530,460,31.0
8,12:08:42.964,35120,36836,36276,36215,35545,961,1013,1003,1002,997,1453,1542,1676,1675,1715,1539,505,508,501,420,489,469,527,459,31.0
9,12:08:47.081,34987,36774,36374,36201,35562,963,1012,1004,1002,996,1456,1539,1675,1675,1714,1537,503,505,501,419,488,470,528,460,31.0
10,12:08:51.203,35033,36709,36249,36211,35431,964,1013,1004,999,995,1453,1543,1676,1674,1716,1538,504,507,501,420,488,468,531,463,31.0
11,12:08:57.966,35163,36906,36418,35900,35461,963,1013,1005,1001,997,1454,1542,1675,1673,1711,1539,503,507,501,419,489,470,528,463,31.0
12,12:09:02.065,35071,36742,36432,35923,35470,963,1013,1005,1001,996,1456,1542,1674,1672,1713,1537,504,506,502,420,490,471,528,463,31.0
13,12:09:06.204,34890,36769,36399,36030,35400,964,1013,1004,1002,998,1456,1543,1676,1675,1714,1539,505,507,501,421,486,470,528,463,31.0
14,12:09:10.325,34873,36751,36452,35967,35526,964,1013,1003,1003,996,1455,1542,1677,1675,1715,1540,502,506,502,420,489,470,525,462,31.0
15,12:09:14.465,35112,36819,36498,35982,35498,965,1011,1003,1001,997,1456,1543,1675,1677,1713,1536,506,507,500,421,488,468,528,460,31.0
16,12:09:18.605,35031,36726,36388,36272,35356,964,1011,1005,1001,998,1456,1541,1678,1675,1716,1538,501,506,500,421,486,472,530,461,31.0
17,12:09:22.704,35066,36551,36438,36047,35569,963,1012,1003,1002,994,1454,1542,1677,1674,1717,1540,505,506,499,420,488,471,526,460,31.0
18,12:09:26.804,34994,36860,36537,36056,35465,963,1011,1003,1001,996,1454,1542,1676,1674,1714,1539,504,507,503,419,490,469,528,460,31.0
19,12:09:30.945,34991,36585,36349,36081,35433,964,1012,1003,1001,995,1456,1541,1676,1674,1713,1543,505,505,499,420,488,469,527,464,31.0
20,12:09:35.045,35144,36896,36494,36109,35533,967,1011,1004,1002,998,1453,1542,1677,1674,1714,1539,505,507,499,419,483,466,529,461,32.0
21,12:09:41.844,35031,36983,36399,35802,35864,964,1013,1003,1001,997,1453,1543,1676,1676,1714,1538,505,507,500,418,487,467,526,464,32.0
22,12:09:45.965,35128,36763,36475,36005,35488,964,1015,1004,1001,996,1455,1541,1675,1677,1712,1538,504,508,500,420,490,471,529,463,32.0
23,12:09:50.124,35005,36697,36467,35929,35519,964,1010,1003,1003,997,1455,1541,1675,1673,1711,1539,502,508,503,419,487,472,529,461,32.0
24,12:09:54.244,35177,36688,36443,36165,35589,965,1013,1003,1000,996,1456,1541,1675,1672,1712,1542,504,507,501,420,488,467,528,460,32.0
25,12:09:58.345,35212,36743,36533,35890,35440,964,1013,1003,1000,997,1456,1542,1677,1674,1717,1541,501,506,500,422,488,469,529,462,32.0
26,12:10:02.504,35009,36843,36441,35866,35513,965,1011,1003,999,997,1454,1542,1678,1673,1717,1542,505,505,501,418,486,468,527,461,32.0
27,12:10:06.587,34842,36862,36424,35972,35727,965,1012,1003,1000,999,1456,1540,1677,1673,1713,1539,504,506,499,417,488,469,527,463,32.0
28,12:10:10.775,34877,36876,36442,35981,35784,963,1014,1004,1000,996,1453,1540,1675,1672,1713,1541,501,506,501,419,490,469,528,461,32.0
29,12:10:14.926,34860,36870,36380,35701,35633,962,1011,1004,1001,996,1455,1543,1676,1673,1716,1539,504,505,502,420,489,471,531,466,32.0
30,12:10:19.167,34972,36745,36488,35916,35614,965,1011,1003,1001,996,1455,1542,1679,1676,1714,1541,506,508,503,421,487,469,526,460,32.0
31,12:10:26.086,34810,37063,36496,35785,35683,964,1013,1005,1001,998,1453,1542,1679,1674,1714,1541,503,506,502,421,487,467,529,462,32.0
32,12:10:30.248,34902,36868,36429,35743,35864,964,1013,1004,1001,996,1456,1542,1676,1676,1711,1539,501,505,502,416,489,469,528,463,32.0
33,12:10:34.407,34978,36932,36529,35643,35952,964,1016,1003,1003,997,1457,1542,1674,1673,1711,1539,504,508,501,419,491,471,529,463,32.0
34,12:10:38.547,35030,37131,36406,35894,35771,964,1011,1003,1000,999,1454,1542,1676,1673,1715,1542,502,506,501,420,489,467,529,461,32.0
35,12:10:42.687,35091,37145,36570,35893,35781,964,1012,1003,1003,997,1455,1542,1674,1674,1714,1542,508,505,502,420,489,468,531,463,32.0
36,12:10:46.826,35095,37128,36550,35788,35792,964,1010,1003,1001,996,1452,1543,1675,1672,1715,1539,505,508,503,419,487,470,527,462,33.0
37,12:10:51.066,35201,37150,36483,35705,35797,963,1011,1002,1001,995,1458,1543,1674,1674,1714,1540,504,507,502,419,488,470,532,462,33.0
38,12:10:55.265,35274,37259,36593,35917,35648,965,1010,1002,1000,998,1457,1542,1674,1672,1716,1540,505,509,498,421,488,468,525,459,33.0
39,12:10:59.429,35196,37145,36488,35823,35809,964,1012,1003,1000,996,1452,1540,1675,1673,1711,1541,505,504,504,420,488,467,529,463,33.0
40,12:11:03.707,35125,37134,36486,35712,35742,964,1015,1003,1001,997,1455,1543,1673,1673,1714,1537,506,507,501,419,487,469,525,461,33.0
41,12:11:10.570,35196,37177,36445,35963,36022,962,1013,1004,1000,1001,1456,1540,1675,1673,1714,1536,504,506,502,420,490,467,528,460,33.0
42,12:11:14.789,35300,37346,36568,35598,35905,966,1011,1004,1000,999,1458,1542,1676,1673,1714,1536,503,508,499,419,489,473,528,462,33.0
43,12:11:18.949,35164,37301,36481,35774,35857,964,1013,1006,1000,998,1455,1543,1675,1675,1714,1541,504,506,501,419,487,469,529,460,33.0
44,12:11:23.308,35275,37097,36680,35687,35950,965,1012,1004,1002,995,1454,1543,1676,1674,1712,1540,503,509,502,420,486,472,530,463,33.0
45,12:11:27.469,35250,37195,36452,35904,35840,963,1011,1004,1000,995,1455,1541,1676,1674,1715,1538,503,506,501,420,487,470,529,461,33.0
46,12:11:31.689,35299,37271,36462,35824,35682,964,1011,1004,1001,997,1456,1543,1675,1674,1715,1537,503,507,502,419,487,471,526,464,33.0
47,12:11:35.927,35340,37145,36498,35793,35670,962,1012,1004,1003,997,1454,1540,1676,1674,1713,1539,502,508,499,417,490,467,529,460,33.0
48,12:11:40.167,35273,37247,36566,36060,35471,964,1012,1003,1003,996,1456,1542,1676,1675,1716,1538,502,506,499,420,488,469,530,463,33.0
49,12:11:44.858,34954,37555,36410,35424,36246,962,1011,1004,1002,998,1455,1540,1677,1674,1715,1535,508,509,503,420,487,470,532,460,33.0
50,12:11:48.969,35273,37247,36696,35747,35871,964,1012,1003,1001,996,1452,1539,1676,1673,1712,1540,502,505,502,421,489,470,528,462,33.0
51,12:11:55.670,35062,37344,36512,35962,35997,963,1014,1005,1001,997,1456,1539,1678,1676,1714,1538,505,505,500,420,485,470,530,464,33.0
52,12:11:59.807,35349,37236,36746,35796,35961,963,1012,1003,1001,996,1456,1542,1676,1674,1717,1540,504,505,500,419,489,471,530,461,33.0
53,12:12:03.989,35665,37257,36718,35669,35891,964,1010,1003,1001,996,1454,1541,1678,1673,1713,1541,505,504,502,420,486,470,529,464,33.0
54,12:12:08.449,35526,37334,36529,35761,35833,963,1013,1003,1001,996,1456,1541,1676,1671,1711,1538,501,507,499,419,489,470,531,460,33.0
55,12:12:12.628,35620,37229,36672,35850,36087,963,1011,1002,1003,998,1457,1540,1675,1676,1711,1539,504,506,501,419,488,470,526,461,33.0
56,12:12:16.811,35784,37310,36654,35719,35987,964,1011,1003,1002,995,1455,1542,1674,1673,1715,1540,503,507,502,420,489,468,529,460,33.0
57,12:12:21.128,35567,37134,36739,35717,35981,964,1012,1004,999,997,1458,1542,1676,1674,1713,1541,501,505,501,421,491,468,530,462,34.0
