N cycles,,VCM data,,,,lens data,,,,mirror data 
1,[1, '81E03FDE0EDEA9DE94E4FF046B0491050505EC044403E103BD02FA03E2026603', 2, 'C242D5417343A03E8A3F0D093608DD090D09AF087F09BE09BD089409F1087509'],,,,,[1, '30017B018A01A201F9004C0154019A01', 2, '21036C038603AB03D802260330036103']
2,[1, 'BBDFD4DC7DDCAADD34E30205690493050505E8044403E103BE02FA03E1026503', 2, 'B1432542B5439B3E7A3F0D093808DC090D09B1087E09BE09BD089509F0087409'],,,,,[1, '33017E018901A001F900490155019E01', 2, '21036C038503AB03D70226032D036103']
3,[1, 'A8DF84DD63DC19DEB4E301056B0493050505E9044603E003BF02FB03E3026603', 2, '9942474239433A3E773F0C093608DD090E09AF088109BC09BD089409F1087209'],,,,,[1, '32017D018B01A001F8004A0153019D01', 2, '21036C038503AC03D60226032F036403']
N cycles,,VCM data,,,,lens data,,,,mirror data 
1,[1, 'F542D2418142463E213F', 2, 'AADF8BDDE8DC58DE59E3']
2,[1, 'A94242425643D53D7C3F', 2, '87DF05DDCADCF1DD03E3']
3,[1, 'E842BC41A9435E3E283F', 2, '27DF85DDFDDCBBDE87E3']
4,[1, '4543DB41DF42BE3EE93F', 2, 'B4DF57DD3CDD82DE85E3']
5,[1, '2A434C413943753E993F', 2, '87DFE7DD8ADC6ADE66E3']
N cycles,,VCM data,,,,lens data,,,,mirror data 
1,,,,,,,,,[1, '31017C018C01A101F800490154019B01', 2, '21036C038503AA03D90226032F036303']
2,,,,,,,,,[1, '30017F018901A101FA00490154019E01', 2, '20036C038603AB03D902260330036303']
3,,,,,,,,,[1, '33017C018A01A101F9004B0153019E01', 2, '20036D038503AB03D80227032E036203']
4,,,,,,,,,[1, '30017C018A019F01FA004B0155019D01', 2, '21036C038603AB03D70226032D036503']
N cycles,,VCM data,,,,lens data,,,,mirror data 
1,,,,,[1, '0105680491050305EC044403E203BD02F903E2026603', 2, '0D093708DC090C09B0088009BF09BD089509F0087409']
2,,,,,[1, '0205690493050305E9044503E003BC02FA03E3026703', 2, '0D093408DB090D09B1087F09BD09BE089309F0087409']
3,,,,,[1, '01056C0493050405EA044403E203BD02F803E2026503', 2, '0D093608DB090F09AF088009BF09BC089309EF087509']
4,,,,,[1, '02056A0493050405E9044403E003BC02FA03E1026503', 2, '0D093608DB090F09B1088109BE09BD089409F0087409']
5,,,,,[1, '01056B0493050305EA044603E003BE02FB03E2026603', 2, '0E093708DB090D09AF088109BD09BD089409EF087509']
N cycles,,VCM data,,,,lens data,,,,mirror data 
1,[1, 'CD42EB418842AB3E3B3F', 2, '4EDF80DD9BDC45DE3AE3'],,,,,[1, '31017C018901A301F9004C0154019B01', 2, '21036C038503AB03D802260331036103']
